Tid,Refund,Marital Status,Taxable Income,Cheat
113,Yes,Married,226k,No
114,No,Single,61k,Yes
115,No,Married,72k,No
116,Yes,Divorced,59k,No
117,No,Married,51k,No
118,No,Single,70k,Yes
119,No,Divorced,152k,Yes
120,No,Divorced,69k,Yes
121,Yes,Divorced,115k,No
122,No,Single,146k,Yes
123,Yes,Married,221k,Yes
124,No,Single,138k,No
125,No,Single,179k,No
126,Yes,Single,240k,No
127,Yes,Married,215k,No
128,No,Divorced,169k,Yes
129,No,Single,136k,No
130,No,Married,128k,No
131,No,Single,96k,Yes
132,Yes,Single,195k,No
133,No,Single,119k,No
134,Yes,Single,175k,No
135,Yes,Married,142k,Yes
136,No,Married,68k,No
137,No,Single,120k,No
138,No,Married,240k,No
139,No,Married,225k,Yes
140,No,Married,205k,No
141,No,Married,192k,No
142,No,Single,115k,No
143,Yes,Divorced,166k,No
144,No,Single,194k,Yes
145,No,Married,188k,No
146,Yes,Divorced,176k,No
147,Yes,Married,78k,Yes
148,No,Married,187k,No
149,Yes,Married,105k,No
150,No,Married,166k,No
151,Yes,Married,90k,No
152,No,Married,63k,No
153,No,Married,180k,No
154,No,Single,140k,No
155,Yes,Divorced,207k,No
156,Yes,Single,140k,Yes
157,Yes,Single,102k,No
158,No,Married,78k,Yes
159,No,Divorced,235k,Yes
160,No,Married,190k,Yes
161,Yes,Married,56k,No
162,No,Married,97k,No
163,Yes,Single,147k,No
164,No,Married,50k,Yes
165,Yes,Single,170k,No
166,Yes,Single,203k,No
167,Yes,Single,78k,No
168,No,Single,55k,Yes
169,No,Single,237k,No
170,No,Single,56k,No
171,No,Single,151k,No
172,Yes,Married,140k,Yes
173,No,Divorced,126k,Yes
174,No,Married,128k,No
175,No,Single,138k,No
176,No,Single,228k,No
177,Yes,Married,77k,No
178,Yes,Single,59k,No
179,Yes,Married,136k,No
180,No,Married,175k,Yes
181,No,Single,129k,Yes
182,No,Single,126k,No
183,No,Married,193k,No
184,No,Divorced,95k,No
185,No,Single,195k,No
186,Yes,Divorced,164k,No
187,No,Married,120k,Yes
188,No,Married,236k,No
189,No,Single,95k,Yes
190,Yes,Married,248k,No
191,No,Single,207k,Yes
192,No,Divorced,62k,Yes
193,No,Married,137k,Yes
194,Yes,Single,77k,No
195,No,Married,220k,No
196,No,Divorced,218k,Yes
197,No,Single,125k,Yes
198,Yes,Married,160k,No
199,No,Single,190k,Yes
200,No,Married,60k,Yes
201,Yes,Single,76k,No
202,No,Single,171k,No
203,No,Married,78k,No
204,No,Divorced,140k,Yes
205,No,Married,126k,Yes
206,No,Divorced,103k,Yes
207,Yes,Single,218k,No
208,No,Married,68k,Yes
209,No,Single,219k,No
210,No,Single,66k,Yes
211,No,Single,107k,No
212,No,Single,107k,Yes
213,No,Married,236k,No
214,No,Divorced,213k,No
215,No,Married,156k,No
216,No,Single,54k,Yes
217,Yes,Married,127k,No
218,Yes,Married,101k,Yes
219,Yes,Married,140k,No
220,Yes,Married,87k,No
221,Yes,Married,70k,No
222,No,Divorced,124k,No
223,No,Divorced,147k,No
224,No,Divorced,174k,Yes
225,No,Single,125k,No
226,No,Divorced,127k,No
227,No,Married,53k,No
228,No,Married,93k,Yes
229,Yes,Divorced,172k,No
230,No,Single,194k,No
231,Yes,Single,163k,Yes
232,No,Married,74k,No
233,Yes,Married,180k,No
234,Yes,Single,162k,No
235,No,Single,249k,Yes
236,Yes,Single,248k,No
237,No,Married,138k,No
238,Yes,Single,54k,No
239,Yes,Divorced,170k,No
240,No,Divorced,207k,Yes
241,No,Married,127k,No
242,No,Divorced,193k,Yes
243,No,Married,122k,Yes
244,No,Divorced,90k,Yes
245,Yes,Single,177k,No
246,No,Divorced,210k,Yes
247,No,Married,80k,No
248,Yes,Married,120k,No
249,No,Single,184k,No
250,No,Divorced,167k,Yes
251,No,Single,150k,Yes
252,No,Single,106k,Yes
253,No,Single,152k,No
254,Yes,Married,158k,Yes
255,Yes,Single,102k,Yes
256,No,Single,215k,Yes
257,No,Divorced,51k,No
258,No,Married,163k,No
259,No,Single,193k,No
260,Yes,Married,94k,No
261,No,Single,172k,No
262,No,Single,64k,Yes
263,No,Single,220k,Yes
264,No,Single,89k,Yes
265,No,Single,152k,No
266,Yes,Single,80k,No
267,Yes,Single,208k,No
268,Yes,Divorced,87k,Yes
269,Yes,Single,177k,No
270,No,Married,243k,No
271,No,Married,199k,No
272,No,Single,89k,Yes
273,No,Single,205k,No
274,No,Married,128k,Yes
275,No,Single,119k,Yes
276,Yes,Married,64k,No
277,No,Single,53k,Yes
278,Yes,Married,199k,No
279,No,Married,74k,No
280,No,Single,204k,No
281,No,Married,147k,No
282,No,Married,239k,Yes
283,No,Divorced,125k,No
284,Yes,Single,207k,No
285,No,Single,219k,No
286,No,Single,84k,Yes
287,No,Divorced,212k,Yes
288,No,Married,68k,No
289,No,Married,126k,No
290,No,Single,69k,Yes
291,Yes,Married,80k,No
292,No,Married,144k,No
293,No,Single,165k,No
294,No,Divorced,203k,Yes
295,No,Single,66k,Yes
296,Yes,Single,134k,No
297,Yes,Single,242k,Yes
298,No,Married,239k,Yes
299,No,Married,228k,No
300,No,Divorced,108k,Yes
301,No,Single,99k,Yes
302,Yes,Divorced,162k,No
303,No,Single,98k,Yes
304,Yes,Single,216k,No
305,No,Married,164k,No
306,No,Married,71k,No
307,No,Married,134k,No
308,Yes,Married,160k,No
309,Yes,Married,218k,No
310,No,Divorced,102k,Yes
311,No,Single,185k,No
312,No,Married,200k,Yes
313,Yes,Divorced,191k,No
314,No,Married,188k,No
315,No,Single,204k,No
316,No,Married,143k,No
317,No,Married,239k,Yes
318,Yes,Single,163k,No
319,No,Married,106k,No
320,Yes,Married,181k,No
321,Yes,Single,59k,No
322,Yes,Divorced,228k,No
323,Yes,Married,152k,No
324,Yes,Single,63k,No
325,No,Single,107k,No
326,Yes,Single,176k,No
327,Yes,Married,209k,No
328,No,Married,206k,No
329,No,Married,165k,No
330,Yes,Married,169k,No
331,No,Single,159k,No
332,Yes,Divorced,177k,No
333,No,Married,96k,No
334,No,Divorced,87k,Yes
335,Yes,Married,128k,No
336,No,Divorced,167k,Yes
337,Yes,Single,216k,No
338,Yes,Married,194k,No
339,No,Married,125k,No
340,No,Divorced,246k,Yes
341,No,Married,196k,Yes
342,No,Married,198k,No
343,Yes,Single,151k,No
344,No,Single,240k,No
345,No,Married,157k,No
346,No,Married,208k,No
347,Yes,Married,93k,No
348,No,Single,151k,Yes
349,No,Single,67k,Yes
350,No,Single,118k,No
351,No,Married,163k,No
352,No,Married,119k,No
353,No,Single,108k,No
354,Yes,Single,139k,Yes
355,Yes,Married,246k,No
356,No,Single,80k,Yes
357,No,Single,224k,No
358,No,Single,165k,Yes
359,No,Married,162k,Yes
360,No,Single,121k,No
361,No,Single,94k,Yes
362,Yes,Married,84k,No
363,No,Divorced,240k,Yes
364,Yes,Married,197k,No
365,No,Single,91k,Yes
366,No,Single,162k,Yes
367,Yes,Married,225k,No
368,No,Single,72k,Yes
369,No,Single,51k,Yes
370,No,Married,235k,No
371,No,Married,119k,No
372,No,Single,228k,No
373,Yes,Single,185k,No
374,No,Single,61k,Yes
375,No,Divorced,166k,No
376,No,Married,165k,No
377,No,Single,110k,No
378,No,Single,200k,No
379,No,Single,75k,Yes
380,Yes,Single,101k,No
381,No,Married,207k,No
382,No,Single,203k,No
383,No,Single,168k,No
384,Yes,Divorced,202k,Yes
385,Yes,Married,130k,Yes
386,Yes,Single,127k,No
387,No,Married,114k,Yes
388,No,Single,56k,Yes
389,Yes,Married,175k,Yes
390,Yes,Married,129k,Yes
391,No,Married,84k,No
392,No,Married,220k,No
393,No,Single,71k,Yes
394,No,Married,239k,No
395,No,Single,226k,No
396,No,Married,179k,No
397,No,Divorced,160k,Yes
398,No,Married,163k,No
399,No,Single,130k,No
400,No,Married,246k,No
401,No,Married,244k,No
402,No,Married,238k,No
403,Yes,Single,203k,No
404,No,Single,133k,No
405,Yes,Married,116k,No
406,No,Married,148k,No
407,Yes,Married,246k,No
408,No,Single,187k,No
409,Yes,Single,208k,No
410,No,Divorced,208k,No
411,No,Single,181k,No
412,No,Married,65k,No
413,No,Divorced,100k,Yes
414,No,Divorced,75k,No
415,Yes,Married,80k,No
416,No,Divorced,126k,Yes
417,Yes,Married,88k,No
418,No,Married,180k,No
419,No,Divorced,116k,Yes
420,No,Single,194k,No
421,No,Single,72k,Yes
422,No,Divorced,137k,Yes
423,No,Single,129k,Yes
424,No,Single,241k,No
425,No,Single,112k,Yes
426,No,Divorced,68k,No
427,No,Single,140k,Yes
428,No,Divorced,196k,No
429,No,Single,189k,Yes
430,Yes,Single,187k,No
431,No,Single,224k,No
432,No,Married,237k,No
433,No,Married,115k,Yes
434,No,Single,95k,No
435,No,Single,135k,No
436,No,Married,67k,No
437,No,Single,177k,No
438,No,Divorced,94k,Yes
439,Yes,Single,175k,No
440,No,Single,170k,No
441,No,Single,52k,No
442,No,Married,190k,No
443,No,Married,98k,No
444,No,Married,95k,No
445,No,Single,70k,Yes
446,Yes,Single,137k,Yes
447,No,Single,149k,No
448,No,Married,141k,Yes
449,No,Divorced,227k,Yes
450,No,Married,78k,Yes
451,Yes,Single,77k,No
452,No,Single,105k,No
453,No,Single,239k,No
454,No,Married,212k,No
455,No,Divorced,100k,No
456,No,Single,247k,No
457,Yes,Divorced,166k,No
458,No,Married,212k,Yes
459,No,Divorced,123k,Yes
460,No,Married,137k,No
461,No,Married,233k,No
462,Yes,Single,246k,No
463,Yes,Single,151k,No
464,No,Married,183k,No
465,Yes,Single,142k,No
466,No,Married,64k,No
467,No,Married,207k,No
468,No,Married,245k,No
469,No,Single,128k,No
470,No,Divorced,166k,Yes
471,Yes,Divorced,237k,No
472,No,Married,50k,Yes
473,No,Married,112k,No
474,No,Single,222k,No
475,No,Single,135k,No
476,No,Single,216k,No
477,Yes,Married,203k,No
478,No,Divorced,174k,Yes
479,Yes,Married,145k,Yes
480,Yes,Divorced,96k,No
481,Yes,Single,145k,No
482,Yes,Married,216k,No
483,Yes,Married,227k,Yes
484,Yes,Single,115k,No
485,No,Single,148k,No
486,No,Married,65k,No
487,No,Single,219k,No
488,No,Divorced,119k,Yes
489,No,Single,74k,Yes
490,Yes,Married,160k,No
491,No,Divorced,61k,No
492,No,Single,225k,No
493,No,Single,111k,No
494,No,Married,246k,Yes
495,No,Married,125k,No
496,Yes,Divorced,50k,No
497,Yes,Single,86k,No
498,No,Divorced,188k,Yes
499,No,Divorced,93k,No
500,No,Single,150k,Yes
501,No,Single,221k,No
502,No,Married,144k,Yes
503,No,Single,233k,No
504,No,Married,164k,No
505,No,Single,134k,Yes
506,No,Single,100k,No
507,No,Single,105k,No
508,Yes,Single,204k,No
509,Yes,Divorced,80k,Yes
510,Yes,Married,55k,No
511,No,Divorced,58k,No
512,No,Married,131k,No
513,No,Married,84k,No
514,No,Divorced,173k,No
515,No,Single,112k,No
516,No,Married,249k,No
517,Yes,Single,198k,No
518,No,Married,163k,Yes
519,No,Single,128k,No
520,No,Married,70k,No
521,Yes,Married,164k,No
522,Yes,Married,111k,No
523,No,Married,114k,No
524,No,Single,156k,No
525,Yes,Married,88k,No
526,Yes,Married,102k,No
527,No,Single,153k,Yes
528,No,Divorced,134k,Yes
529,No,Married,108k,No
530,Yes,Single,239k,No
531,No,Single,166k,No
532,No,Single,177k,No
533,Yes,Single,218k,No
534,No,Married,110k,No
535,No,Single,68k,Yes
536,Yes,Married,167k,No
537,No,Divorced,95k,No
538,No,Divorced,232k,Yes
539,No,Divorced,127k,Yes
540,Yes,Married,81k,No
541,No,Married,208k,Yes
542,Yes,Divorced,188k,No
543,Yes,Divorced,157k,No
544,No,Divorced,192k,Yes
545,No,Single,174k,No
546,No,Single,209k,Yes
547,No,Married,233k,No
548,Yes,Divorced,144k,No
549,Yes,Divorced,132k,No
550,Yes,Single,123k,No
551,No,Married,51k,Yes
552,No,Married,150k,No
553,No,Divorced,142k,Yes
554,No,Single,201k,No
555,No,Single,152k,No
556,No,Single,226k,No
557,Yes,Single,68k,No
558,No,Married,247k,No
559,Yes,Single,239k,No
560,No,Married,126k,Yes
561,No,Single,234k,No
562,No,Married,113k,No
563,No,Single,234k,No
564,No,Married,184k,No
565,No,Married,129k,No
566,No,Married,132k,Yes
567,Yes,Divorced,209k,No
568,No,Single,110k,No
569,No,Married,176k,No
570,Yes,Single,179k,No
571,No,Single,203k,Yes
572,No,Single,85k,Yes
573,Yes,Single,175k,No
574,No,Divorced,162k,No
575,Yes,Single,157k,No
576,Yes,Divorced,229k,No
577,No,Married,142k,Yes
578,No,Divorced,243k,Yes
579,No,Single,217k,No
580,No,Single,136k,Yes
581,Yes,Married,59k,Yes
582,No,Single,115k,Yes
583,No,Single,215k,No
584,No,Single,168k,Yes
585,No,Single,155k,No
586,No,Married,67k,No
587,Yes,Divorced,114k,No
588,No,Married,62k,No
589,No,Single,174k,No
590,No,Single,132k,No
591,No,Single,196k,No
592,Yes,Divorced,166k,No
593,No,Single,74k,No
594,Yes,Married,213k,No
595,Yes,Single,67k,No
596,No,Divorced,197k,Yes
597,No,Married,95k,No
598,No,Divorced,200k,Yes
599,No,Divorced,101k,Yes
600,No,Married,248k,No
601,No,Single,238k,No
602,No,Divorced,62k,Yes
603,No,Single,190k,No
604,No,Married,75k,Yes
605,No,Single,230k,No
606,No,Single,167k,No
607,Yes,Divorced,146k,Yes
608,No,Single,180k,No
609,No,Single,137k,No
610,No,Single,111k,No
611,No,Single,166k,No
612,No,Single,145k,No
613,No,Married,134k,No
614,No,Married,111k,Yes
615,No,Single,78k,Yes
616,No,Married,117k,Yes
617,Yes,Single,244k,No
618,Yes,Married,73k,Yes
619,No,Married,92k,Yes
620,No,Single,213k,No
621,No,Single,52k,Yes
622,No,Single,222k,Yes
623,Yes,Divorced,54k,No
624,Yes,Single,106k,No
625,Yes,Single,157k,Yes
626,No,Married,112k,No
627,No,Married,184k,No
628,Yes,Single,246k,No
629,No,Married,219k,No
630,No,Single,180k,No
631,No,Divorced,248k,Yes
632,No,Single,189k,No
633,No,Single,201k,No
634,Yes,Divorced,74k,No
635,No,Married,72k,No
636,Yes,Single,122k,Yes
637,No,Married,90k,Yes
638,No,Married,66k,No
639,Yes,Married,161k,No
640,No,Married,233k,No
641,Yes,Married,216k,No
642,No,Married,76k,No
643,Yes,Divorced,141k,No
644,No,Married,154k,No
645,No,Married,51k,No
646,No,Single,204k,No
647,No,Married,78k,No
648,No,Single,79k,Yes
649,Yes,Married,240k,No
650,No,Married,227k,No
651,No,Divorced,177k,Yes
652,Yes,Married,204k,No
653,No,Married,142k,No
654,No,Married,101k,No
655,No,Single,213k,Yes
656,No,Married,144k,No
657,No,Single,53k,Yes
658,No,Married,208k,No
659,No,Divorced,144k,Yes
660,Yes,Divorced,81k,No
661,Yes,Single,168k,No
662,No,Married,133k,No
663,No,Divorced,103k,Yes
664,No,Single,246k,No
665,Yes,Divorced,154k,No
666,No,Single,248k,No
667,No,Divorced,181k,No
668,No,Single,67k,No
669,Yes,Married,127k,No
670,Yes,Divorced,82k,No
671,No,Married,112k,No
672,Yes,Single,112k,Yes
673,No,Married,85k,Yes
674,No,Married,235k,Yes
675,No,Married,173k,Yes
676,No,Single,131k,No
677,No,Married,143k,No
678,Yes,Single,143k,Yes
679,No,Divorced,68k,Yes
680,No,Single,190k,No
681,No,Divorced,50k,Yes
682,No,Divorced,132k,Yes
683,No,Single,122k,No
684,No,Married,79k,No
685,No,Married,147k,Yes
686,Yes,Married,144k,Yes
687,No,Divorced,99k,Yes
688,Yes,Single,248k,No
689,No,Married,152k,No
690,Yes,Married,231k,No
691,No,Divorced,220k,Yes
692,No,Married,199k,No
693,No,Divorced,148k,Yes
694,Yes,Married,248k,No
695,No,Married,61k,Yes
696,No,Single,187k,Yes
697,Yes,Married,194k,No
698,No,Divorced,224k,Yes
699,No,Married,98k,No
700,Yes,Married,153k,No
701,No,Single,69k,Yes
702,No,Single,79k,No
703,No,Divorced,205k,Yes
704,Yes,Divorced,175k,No
705,No,Married,181k,Yes
706,Yes,Divorced,200k,No
707,No,Single,161k,No
708,No,Married,201k,No
709,No,Married,101k,Yes
710,Yes,Married,73k,Yes
711,No,Single,135k,No
712,No,Single,59k,Yes
713,No,Married,234k,No
714,No,Single,137k,Yes
715,No,Single,124k,No
716,No,Single,229k,No
717,No,Single,247k,No
718,Yes,Single,190k,No
719,No,Divorced,218k,Yes
720,No,Single,174k,No
721,No,Divorced,224k,No
722,No,Single,241k,No
723,No,Married,156k,Yes
724,Yes,Married,75k,Yes
725,No,Single,120k,Yes
726,Yes,Single,119k,Yes
727,Yes,Married,185k,No
728,No,Single,220k,No
729,No,Single,95k,Yes
730,Yes,Single,193k,No
731,No,Married,101k,No
732,Yes,Divorced,127k,Yes
733,No,Divorced,107k,No
734,Yes,Single,241k,No
735,Yes,Divorced,182k,No
736,No,Single,112k,Yes
737,No,Divorced,198k,Yes
738,Yes,Single,89k,No
739,No,Divorced,99k,No
740,No,Divorced,142k,Yes
741,No,Divorced,212k,Yes
742,No,Married,56k,No
743,Yes,Married,71k,No
744,No,Single,121k,No
745,No,Single,111k,No
746,No,Married,60k,No
747,No,Married,206k,Yes
748,Yes,Married,61k,No
749,Yes,Married,236k,No
750,No,Single,194k,No
751,Yes,Married,162k,No
752,Yes,Married,168k,No
753,Yes,Married,107k,No
754,No,Married,182k,No
755,No,Single,156k,No
756,No,Single,125k,No
757,No,Divorced,184k,No
758,No,Divorced,148k,Yes
759,No,Single,167k,No
760,Yes,Married,222k,No
761,Yes,Single,117k,Yes
762,No,Divorced,79k,Yes
763,No,Single,214k,No
764,Yes,Single,57k,No
765,No,Married,104k,Yes
766,No,Single,220k,No
767,No,Married,147k,No
768,No,Single,99k,Yes
769,Yes,Married,236k,No
770,No,Single,225k,Yes
771,No,Married,224k,No
772,No,Single,173k,Yes
773,No,Single,191k,No
774,Yes,Divorced,242k,No
775,No,Single,69k,Yes
776,No,Divorced,108k,Yes
777,No,Single,98k,Yes
778,No,Divorced,144k,No
779,No,Single,93k,Yes
780,No,Single,196k,Yes
781,Yes,Single,160k,No
782,No,Single,78k,No
783,No,Married,92k,No
784,No,Divorced,247k,Yes
785,Yes,Married,110k,Yes
786,No,Married,158k,Yes
787,Yes,Single,246k,No
788,Yes,Married,126k,Yes
789,No,Married,117k,Yes
790,No,Married,87k,No
791,No,Married,202k,Yes
792,No,Single,221k,No
793,No,Married,109k,No
794,No,Married,192k,Yes
795,No,Single,201k,No
796,No,Married,230k,Yes
797,No,Married,111k,No
798,No,Single,75k,Yes
799,No,Single,165k,No
800,Yes,Divorced,87k,No
801,No,Single,203k,No
802,No,Married,78k,No
803,No,Married,66k,No
804,No,Married,84k,Yes
805,No,Divorced,129k,Yes
806,Yes,Single,225k,No
807,No,Married,51k,No
808,Yes,Divorced,179k,No
809,No,Married,79k,Yes
810,Yes,Married,225k,No
811,Yes,Married,73k,No
812,No,Single,116k,No
813,No,Divorced,173k,Yes
814,No,Married,167k,No
815,No,Married,56k,No
816,No,Married,211k,Yes
817,No,Married,68k,No
818,No,Single,100k,No
819,No,Married,120k,No
820,No,Single,162k,No
821,Yes,Single,235k,No
822,Yes,Married,92k,No
823,No,Single,125k,No
824,No,Divorced,227k,Yes
825,No,Married,192k,Yes
826,No,Married,206k,No
827,Yes,Married,221k,Yes
828,No,Divorced,205k,No
829,Yes,Single,160k,No
830,No,Single,184k,Yes
831,No,Single,217k,No
832,No,Divorced,57k,Yes
833,Yes,Single,81k,No
834,Yes,Married,73k,No
835,No,Married,240k,No
836,Yes,Single,158k,No
837,No,Single,160k,No
838,Yes,Married,141k,No
839,No,Single,144k,No
840,No,Married,98k,No
841,No,Single,152k,No
842,No,Married,69k,No
843,No,Single,128k,Yes
844,Yes,Married,227k,No
845,No,Single,101k,No
846,Yes,Single,181k,No
847,No,Married,157k,Yes
848,No,Married,76k,No
849,No,Single,192k,No
850,Yes,Single,228k,No
851,Yes,Divorced,98k,No
852,No,Single,245k,No
853,No,Single,224k,No
854,No,Married,62k,Yes
855,No,Married,222k,Yes
856,No,Divorced,236k,Yes
857,No,Single,129k,No
858,No,Married,88k,No
859,No,Single,231k,Yes
860,No,Divorced,171k,Yes
861,No,Divorced,196k,Yes
862,No,Divorced,206k,Yes
863,Yes,Divorced,146k,No
864,Yes,Married,233k,No
865,No,Divorced,129k,No
866,Yes,Single,73k,No
867,No,Divorced,143k,Yes
868,Yes,Married,244k,No
869,No,Married,242k,No
870,No,Single,218k,No
871,No,Single,238k,No
872,No,Single,66k,Yes
873,No,Divorced,207k,Yes
874,No,Married,178k,No
875,Yes,Divorced,135k,No
876,No,Married,245k,No
877,No,Divorced,197k,Yes
878,Yes,Single,157k,No
879,Yes,Single,154k,No
880,Yes,Married,60k,No
881,Yes,Divorced,92k,No
882,No,Divorced,133k,No
883,Yes,Single,239k,No
884,Yes,Married,83k,No
885,No,Single,143k,No
886,No,Divorced,113k,Yes
887,No,Married,89k,Yes
888,Yes,Married,179k,No
889,Yes,Married,209k,No
890,No,Divorced,133k,No
891,No,Divorced,214k,Yes
892,No,Single,125k,No
893,No,Single,138k,No
894,No,Married,114k,Yes
895,Yes,Married,71k,No
896,Yes,Married,58k,Yes
897,Yes,Single,236k,No
898,No,Single,83k,Yes
899,No,Married,150k,No
900,No,Married,126k,Yes
901,No,Divorced,222k,Yes
902,Yes,Divorced,163k,No
903,No,Married,77k,Yes
904,No,Divorced,117k,Yes
905,No,Married,220k,Yes
906,No,Divorced,62k,No
907,Yes,Married,127k,Yes
908,No,Married,68k,Yes
909,No,Married,234k,No
910,No,Married,192k,No
911,No,Single,56k,Yes
912,Yes,Divorced,96k,No
913,No,Married,126k,Yes
914,No,Single,162k,No
915,Yes,Married,87k,No
916,No,Married,51k,No
917,No,Single,126k,No
918,No,Single,125k,No
919,Yes,Married,81k,Yes
920,No,Single,156k,No
921,No,Single,70k,Yes
922,Yes,Single,148k,No
923,No,Divorced,60k,No
924,No,Married,124k,No
925,No,Married,67k,No
926,Yes,Single,99k,No
927,Yes,Married,110k,No
928,No,Divorced,199k,Yes
929,Yes,Single,154k,No
930,No,Married,185k,No
931,No,Single,70k,No
932,No,Married,228k,Yes
933,Yes,Single,248k,No
934,No,Single,160k,No
935,Yes,Divorced,115k,Yes
936,No,Married,185k,No
937,No,Married,83k,No
938,Yes,Divorced,187k,No
939,Yes,Single,230k,No
940,No,Married,148k,No
941,No,Married,210k,Yes
942,No,Married,76k,No
943,No,Single,164k,No
944,Yes,Single,106k,No
945,Yes,Single,247k,No
946,Yes,Single,186k,No
947,No,Divorced,232k,Yes
948,No,Single,86k,Yes
949,No,Single,223k,No
950,Yes,Divorced,145k,Yes
951,Yes,Single,121k,No
952,Yes,Divorced,232k,No
953,No,Divorced,149k,Yes
954,No,Married,88k,Yes
955,No,Single,147k,No
956,Yes,Single,210k,No
957,Yes,Divorced,52k,Yes
958,Yes,Divorced,139k,Yes
959,Yes,Divorced,213k,No
960,No,Married,133k,No
961,No,Single,76k,Yes
962,No,Single,129k,No
963,No,Married,209k,No
964,Yes,Married,156k,Yes
965,No,Married,154k,No
966,No,Married,236k,No
967,No,Single,72k,Yes
968,No,Single,141k,No
969,No,Single,110k,No
970,No,Single,173k,Yes
971,Yes,Single,76k,No
972,No,Single,67k,Yes
973,No,Married,228k,No
974,No,Single,95k,Yes
975,Yes,Single,112k,Yes
976,No,Single,188k,Yes
977,No,Married,118k,Yes
978,Yes,Married,59k,No
979,No,Single,247k,No
980,No,Single,142k,No
981,No,Married,128k,No
982,Yes,Married,156k,No
983,No,Divorced,67k,Yes
984,No,Married,153k,No
985,No,Single,212k,No
986,Yes,Divorced,231k,No
987,No,Married,109k,No
988,Yes,Divorced,177k,No
989,No,Divorced,211k,Yes
990,No,Married,176k,No
991,No,Single,74k,Yes
992,Yes,Divorced,171k,No
993,No,Married,127k,Yes
994,Yes,Divorced,94k,No
995,No,Married,226k,No
996,Yes,Single,65k,No
997,Yes,Married,210k,No
998,No,Married,60k,Yes
999,No,Married,231k,Yes
1000,Yes,Married,176k,No
1001,No,Married,232k,Yes
1002,Yes,Divorced,197k,No
1003,No,Divorced,245k,No
1004,No,Divorced,138k,Yes
1005,No,Single,70k,Yes
1006,No,Married,134k,Yes
1007,Yes,Single,95k,Yes
1008,Yes,Single,98k,No
1009,No,Married,114k,Yes
1010,Yes,Single,219k,No
1011,No,Divorced,153k,Yes
1012,Yes,Married,156k,No
1013,Yes,Divorced,195k,No
1014,No,Married,165k,No
1015,Yes,Divorced,70k,Yes
1016,No,Single,131k,No
1017,No,Single,212k,No
1018,No,Divorced,200k,Yes
