Tid,Refund,Marital Status,Taxable Income,Cheat
112,Yes,Divorced,149k,Yes
113,Yes,Single,137k,No
114,Yes,Married,126k,No
115,Yes,Married,217k,No
116,Yes,Single,112k,No
117,No,Divorced,98k,Yes
118,No,Single,194k,No
119,No,Divorced,139k,Yes
120,No,Married,202k,No
121,No,Married,246k,Yes
122,No,Married,237k,No
123,No,Married,146k,No
124,No,Single,142k,No
125,Yes,Divorced,132k,Yes
126,Yes,Single,141k,No
127,Yes,Divorced,241k,No
128,No,Married,112k,Yes
129,No,Married,172k,No
130,Yes,Single,180k,No
131,Yes,Single,115k,No
132,No,Single,99k,Yes
133,Yes,Married,138k,Yes
134,No,Married,87k,No
135,Yes,Married,121k,No
136,No,Divorced,138k,Yes
137,No,Divorced,109k,No
138,No,Married,212k,Yes
139,No,Married,73k,No
140,No,Divorced,155k,No
141,No,Married,187k,No
142,No,Married,205k,No
143,No,Married,95k,No
144,No,Married,52k,No
145,No,Single,56k,Yes
146,No,Single,220k,No
147,No,Married,66k,No
148,No,Single,181k,No
149,Yes,Married,51k,Yes
150,No,Married,112k,No
151,No,Single,80k,Yes
152,No,Married,211k,No
153,No,Married,153k,Yes
154,No,Married,227k,No
155,Yes,Divorced,214k,Yes
156,Yes,Single,139k,No
157,No,Single,128k,Yes
158,No,Married,124k,No
159,No,Single,160k,Yes
160,No,Married,58k,No
161,No,Single,152k,No
162,No,Married,244k,No
163,No,Married,243k,Yes
164,No,Divorced,206k,Yes
165,No,Divorced,86k,Yes
166,No,Single,74k,No
167,No,Married,126k,Yes
168,Yes,Single,122k,Yes
169,No,Single,158k,No
170,Yes,Single,81k,No
171,No,Divorced,54k,Yes
172,No,Married,152k,No
173,No,Divorced,162k,No
174,No,Married,167k,Yes
175,No,Single,210k,No
176,Yes,Married,100k,Yes
177,No,Single,68k,Yes
178,No,Divorced,108k,No
179,No,Married,83k,No
180,No,Single,128k,No
181,No,Single,132k,No
182,No,Married,224k,No
183,No,Married,236k,No
184,No,Single,89k,Yes
185,No,Married,215k,No
186,No,Married,179k,No
187,No,Single,198k,No
188,No,Divorced,103k,Yes
189,No,Single,211k,Yes
190,No,Single,105k,No
191,Yes,Single,212k,No
192,No,Single,169k,No
193,No,Single,106k,No
194,Yes,Married,73k,No
195,No,Single,151k,Yes
196,No,Married,76k,No
197,No,Divorced,179k,Yes
198,No,Married,107k,No
199,Yes,Single,220k,No
200,No,Married,211k,No
201,Yes,Married,218k,No
202,Yes,Married,164k,No
203,Yes,Married,120k,No
204,No,Single,139k,No
205,Yes,Single,209k,No
206,No,Divorced,216k,Yes
207,No,Single,207k,Yes
208,Yes,Single,215k,No
209,No,Divorced,237k,Yes
210,No,Married,182k,No
211,No,Married,97k,No
212,Yes,Married,238k,No
213,No,Single,60k,No
214,No,Divorced,107k,Yes
215,No,Single,206k,Yes
216,Yes,Married,76k,No
217,No,Married,123k,No
218,Yes,Married,188k,Yes
219,No,Married,90k,No
220,No,Single,199k,No
221,No,Divorced,207k,No
222,No,Married,92k,No
223,No,Divorced,88k,Yes
224,No,Divorced,217k,Yes
225,No,Divorced,173k,Yes
226,No,Single,107k,No
227,No,Single,153k,No
228,Yes,Single,56k,Yes
229,No,Married,229k,No
230,No,Married,186k,Yes
231,No,Married,195k,Yes
232,Yes,Single,247k,No
233,Yes,Married,114k,Yes
234,No,Divorced,80k,Yes
235,No,Married,73k,Yes
236,No,Single,211k,Yes
237,No,Married,196k,No
238,Yes,Married,220k,No
239,No,Married,239k,Yes
240,No,Divorced,199k,No
241,Yes,Married,119k,No
242,No,Married,60k,No
243,Yes,Single,145k,No
244,No,Married,245k,Yes
245,No,Single,207k,No
246,No,Single,74k,Yes
247,No,Single,86k,Yes
248,Yes,Single,175k,No
249,No,Single,176k,No
250,No,Single,210k,No
251,No,Married,152k,No
252,No,Married,123k,No
253,Yes,Single,144k,Yes
254,No,Single,113k,No
255,No,Married,104k,No
256,Yes,Divorced,203k,No
257,No,Single,173k,Yes
258,No,Married,240k,Yes
259,No,Divorced,211k,Yes
260,No,Divorced,234k,Yes
261,No,Married,217k,No
262,Yes,Single,55k,No
263,No,Single,199k,No
264,No,Single,171k,No
265,No,Divorced,168k,No
266,No,Single,176k,No
267,No,Divorced,235k,No
268,Yes,Single,196k,No
269,No,Single,203k,No
270,No,Divorced,232k,Yes
271,No,Single,109k,Yes
272,No,Single,233k,No
273,No,Single,108k,No
274,Yes,Single,68k,No
275,No,Divorced,238k,Yes
276,No,Divorced,242k,No
277,No,Married,247k,No
278,No,Married,192k,Yes
279,Yes,Married,159k,No
280,No,Single,66k,No
281,Yes,Married,51k,Yes
282,No,Single,236k,No
283,No,Married,190k,No
284,No,Single,240k,Yes
285,Yes,Single,73k,Yes
286,No,Single,220k,No
287,No,Single,180k,No
288,No,Single,80k,Yes
289,Yes,Married,149k,No
290,No,Married,216k,No
291,No,Divorced,72k,Yes
292,No,Married,102k,No
293,No,Married,190k,Yes
294,Yes,Single,227k,No
295,No,Single,110k,No
296,Yes,Single,80k,Yes
297,Yes,Married,138k,No
298,Yes,Single,84k,Yes
299,No,Single,89k,No
300,No,Married,171k,No
301,No,Married,58k,No
302,Yes,Married,149k,Yes
303,No,Single,119k,Yes
304,No,Divorced,131k,Yes
305,No,Married,151k,Yes
306,No,Single,160k,No
307,No,Married,200k,No
308,No,Married,116k,Yes
309,No,Married,73k,Yes
310,No,Married,187k,No
311,Yes,Single,77k,Yes
312,No,Married,183k,Yes
313,No,Divorced,92k,No
314,No,Married,247k,No
315,No,Married,107k,Yes
316,No,Married,58k,Yes
317,No,Single,92k,Yes
318,No,Divorced,102k,Yes
319,No,Married,116k,No
320,No,Single,219k,No
321,No,Divorced,63k,Yes
322,No,Married,126k,Yes
323,No,Single,137k,No
324,Yes,Single,244k,No
325,No,Divorced,62k,No
326,Yes,Married,98k,No
327,No,Single,232k,Yes
328,Yes,Divorced,64k,No
329,No,Divorced,202k,Yes
330,Yes,Single,228k,No
331,No,Married,225k,Yes
332,No,Married,77k,Yes
333,Yes,Single,188k,No
334,No,Divorced,57k,Yes
335,Yes,Single,218k,No
336,No,Divorced,77k,Yes
337,No,Married,99k,No
338,Yes,Divorced,212k,No
339,No,Single,122k,No
340,No,Single,225k,No
341,No,Married,50k,No
342,Yes,Single,113k,No
343,No,Divorced,103k,Yes
344,No,Divorced,77k,Yes
345,No,Single,151k,No
346,Yes,Divorced,198k,No
347,No,Married,131k,Yes
348,Yes,Single,73k,Yes
349,No,Single,198k,No
350,No,Married,206k,No
351,No,Single,190k,No
352,No,Divorced,216k,Yes
353,No,Married,175k,No
354,No,Married,187k,No
355,No,Single,138k,No
356,No,Single,117k,No
357,No,Single,61k,Yes
358,Yes,Single,165k,Yes
359,No,Single,70k,Yes
360,Yes,Single,197k,Yes
361,No,Married,56k,Yes
362,No,Single,102k,Yes
363,Yes,Married,186k,Yes
364,No,Single,97k,Yes
365,No,Married,72k,No
366,No,Divorced,225k,Yes
367,No,Divorced,172k,Yes
368,No,Single,109k,Yes
369,No,Single,231k,No
370,No,Divorced,94k,No
371,Yes,Divorced,122k,Yes
372,No,Single,213k,No
373,No,Single,108k,No
374,No,Single,152k,No
375,No,Divorced,170k,Yes
376,No,Divorced,236k,Yes
377,Yes,Married,195k,No
378,No,Single,222k,Yes
379,No,Single,168k,No
380,No,Divorced,112k,No
381,No,Divorced,93k,No
382,Yes,Single,57k,No
383,No,Single,163k,No
384,Yes,Married,235k,No
385,Yes,Single,236k,No
386,No,Single,180k,Yes
387,No,Married,194k,No
388,Yes,Married,114k,No
389,Yes,Single,109k,Yes
390,Yes,Married,187k,No
391,No,Married,54k,No
392,No,Married,220k,Yes
393,Yes,Married,169k,No
394,No,Single,95k,Yes
395,No,Married,82k,No
396,Yes,Married,64k,No
397,No,Married,154k,No
398,No,Married,83k,No
399,Yes,Married,139k,Yes
400,Yes,Divorced,105k,Yes
401,Yes,Single,53k,Yes
402,No,Married,234k,No
403,No,Single,92k,Yes
404,Yes,Single,116k,No
405,No,Married,172k,Yes
406,Yes,Married,211k,No
407,No,Married,76k,No
408,No,Married,197k,No
409,No,Divorced,116k,Yes
410,No,Married,141k,No
411,No,Single,194k,No
412,No,Single,79k,Yes
413,No,Single,222k,Yes
414,Yes,Married,194k,No
415,No,Single,135k,No
416,No,Married,163k,Yes
417,Yes,Single,186k,No
418,No,Married,228k,No
419,No,Married,212k,Yes
420,Yes,Divorced,176k,No
421,No,Married,215k,No
422,No,Married,71k,No
423,No,Single,56k,Yes
424,No,Single,161k,Yes
425,No,Single,224k,No
426,No,Married,152k,No
427,Yes,Divorced,51k,No
428,Yes,Single,122k,No
429,No,Married,151k,No
430,Yes,Single,157k,No
431,No,Single,102k,Yes
432,No,Married,160k,Yes
433,No,Single,87k,Yes
434,No,Married,175k,Yes
435,No,Divorced,161k,Yes
436,No,Divorced,216k,Yes
437,No,Divorced,148k,Yes
438,No,Divorced,132k,Yes
439,No,Married,63k,No
440,No,Divorced,94k,Yes
441,No,Single,101k,Yes
442,No,Single,116k,No
443,No,Married,99k,No
444,No,Married,175k,No
445,No,Married,123k,Yes
446,No,Single,160k,Yes
447,No,Divorced,110k,Yes
448,No,Single,84k,No
449,No,Married,229k,No
450,Yes,Single,228k,No
451,No,Married,106k,No
452,No,Married,121k,No
453,No,Single,207k,Yes
454,No,Single,228k,No
455,No,Divorced,177k,Yes
456,No,Divorced,67k,Yes
457,No,Single,206k,No
458,No,Married,90k,No
459,No,Married,203k,Yes
460,No,Divorced,149k,No
461,Yes,Single,226k,No
462,Yes,Single,129k,No
463,Yes,Single,232k,No
464,No,Single,198k,Yes
465,No,Married,106k,No
466,No,Single,240k,No
467,No,Married,123k,Yes
468,No,Married,122k,No
469,No,Single,192k,No
470,No,Single,108k,No
471,No,Married,86k,No
472,No,Married,223k,No
473,No,Divorced,137k,Yes
474,No,Divorced,188k,Yes
475,No,Single,234k,No
476,No,Single,249k,Yes
477,Yes,Married,174k,No
478,No,Married,115k,Yes
479,No,Divorced,210k,Yes
480,Yes,Married,239k,No
481,No,Married,160k,Yes
482,Yes,Married,212k,No
483,No,Single,105k,No
484,Yes,Single,192k,No
485,Yes,Single,51k,No
486,No,Single,197k,No
487,Yes,Single,104k,No
488,Yes,Single,112k,No
489,No,Divorced,225k,Yes
490,No,Single,237k,No
491,Yes,Single,243k,No
492,No,Married,189k,No
493,No,Married,58k,No
494,No,Single,58k,Yes
495,No,Married,81k,No
496,No,Married,77k,No
497,No,Divorced,219k,Yes
498,Yes,Single,164k,No
499,No,Married,167k,Yes
500,Yes,Married,202k,Yes
501,No,Single,67k,Yes
502,No,Divorced,245k,Yes
503,Yes,Married,104k,No
504,Yes,Married,140k,Yes
505,No,Single,211k,No
506,Yes,Married,113k,No
507,No,Single,91k,Yes
508,No,Divorced,131k,Yes
509,No,Single,202k,No
510,No,Married,116k,No
511,No,Single,199k,No
512,Yes,Divorced,130k,Yes
513,No,Single,140k,No
514,No,Married,218k,No
515,Yes,Married,52k,No
516,No,Single,192k,No
517,Yes,Divorced,88k,No
518,Yes,Married,155k,No
519,No,Divorced,214k,No
520,No,Divorced,116k,Yes
521,Yes,Single,67k,No
522,No,Married,240k,No
523,Yes,Married,157k,No
524,Yes,Married,148k,Yes
525,No,Married,58k,Yes
526,Yes,Single,238k,No
527,Yes,Divorced,193k,No
528,No,Divorced,218k,No
529,No,Married,66k,Yes
530,Yes,Divorced,89k,No
531,No,Married,125k,No
532,No,Single,63k,Yes
533,Yes,Single,62k,No
534,No,Single,181k,Yes
535,No,Single,211k,No
536,No,Single,64k,Yes
537,Yes,Divorced,112k,No
538,No,Married,231k,Yes
539,No,Married,91k,No
540,No,Single,206k,No
541,Yes,Married,197k,No
542,Yes,Married,133k,No
543,No,Married,194k,Yes
544,No,Single,228k,No
545,No,Single,179k,No
546,No,Divorced,229k,No
547,Yes,Married,202k,No
548,No,Divorced,128k,Yes
549,No,Married,240k,No
550,No,Married,240k,Yes
551,No,Single,57k,No
552,No,Single,102k,Yes
553,No,Single,171k,No
554,No,Single,197k,No
555,No,Single,244k,Yes
556,No,Married,229k,Yes
557,No,Married,103k,No
558,No,Married,154k,No
559,Yes,Divorced,153k,Yes
560,No,Single,215k,No
561,No,Single,244k,No
562,No,Married,136k,No
563,No,Single,236k,Yes
564,No,Married,161k,No
565,No,Married,218k,No
566,No,Divorced,249k,No
567,Yes,Divorced,191k,No
568,No,Single,68k,Yes
569,No,Single,100k,No
570,No,Single,82k,Yes
571,Yes,Married,168k,No
572,No,Married,203k,No
573,No,Divorced,141k,Yes
574,No,Married,122k,No
575,No,Divorced,174k,No
576,No,Single,185k,No
577,No,Single,238k,Yes
578,No,Single,65k,Yes
579,No,Divorced,184k,Yes
580,No,Married,187k,Yes
581,No,Divorced,206k,Yes
582,No,Single,80k,Yes
583,No,Married,164k,Yes
584,No,Married,133k,No
585,No,Married,187k,No
586,No,Divorced,98k,No
587,Yes,Single,116k,Yes
588,No,Married,210k,No
589,No,Single,158k,No
590,No,Married,222k,No
591,No,Single,214k,No
592,No,Single,214k,No
593,No,Married,86k,Yes
594,No,Divorced,180k,Yes
595,No,Single,59k,No
596,Yes,Single,83k,No
597,Yes,Married,183k,Yes
598,No,Single,71k,Yes
599,No,Single,156k,Yes
600,No,Single,158k,No
601,No,Single,163k,No
602,No,Single,154k,Yes
603,No,Married,153k,Yes
604,No,Single,77k,Yes
605,No,Divorced,74k,No
606,No,Married,88k,Yes
607,No,Single,52k,Yes
608,Yes,Single,125k,Yes
609,No,Single,206k,No
610,No,Married,95k,No
611,No,Single,107k,No
612,No,Single,86k,Yes
613,No,Married,130k,No
614,Yes,Married,79k,Yes
615,No,Married,97k,Yes
616,No,Married,152k,No
617,No,Single,123k,No
618,No,Single,121k,No
619,No,Married,149k,No
620,No,Married,69k,No
621,No,Married,52k,No
622,Yes,Single,57k,No
623,No,Single,197k,No
624,No,Married,228k,Yes
625,No,Single,73k,No
626,No,Single,118k,No
627,No,Single,127k,No
628,Yes,Married,73k,No
629,Yes,Married,89k,No
630,No,Single,190k,No
631,No,Married,67k,No
632,No,Divorced,112k,No
633,No,Married,217k,No
634,No,Married,114k,Yes
635,No,Married,247k,No
636,No,Single,121k,No
637,Yes,Single,202k,No
638,Yes,Single,124k,No
639,No,Divorced,238k,Yes
640,Yes,Married,247k,No
641,No,Single,129k,No
642,No,Divorced,140k,Yes
643,No,Single,242k,No
644,No,Divorced,157k,Yes
645,No,Married,100k,No
646,No,Single,240k,Yes
647,Yes,Divorced,105k,Yes
648,No,Married,171k,No
649,No,Married,137k,No
650,Yes,Single,203k,No
651,No,Married,228k,No
652,No,Single,119k,No
653,No,Divorced,185k,Yes
654,No,Married,146k,No
655,No,Married,245k,No
656,Yes,Single,106k,Yes
657,Yes,Single,131k,Yes
658,No,Divorced,207k,Yes
659,Yes,Married,246k,Yes
660,No,Married,112k,No
661,No,Married,65k,Yes
662,No,Single,103k,Yes
663,No,Married,111k,No
664,No,Divorced,243k,Yes
665,No,Single,92k,Yes
666,Yes,Married,120k,No
667,No,Married,242k,No
668,No,Single,143k,Yes
669,No,Single,51k,Yes
670,No,Married,159k,Yes
671,Yes,Divorced,109k,Yes
672,Yes,Single,113k,No
673,Yes,Divorced,170k,Yes
674,No,Married,107k,Yes
675,No,Divorced,77k,No
676,Yes,Single,73k,No
677,No,Single,130k,No
678,Yes,Single,100k,No
679,Yes,Married,117k,Yes
680,No,Married,179k,No
681,No,Single,109k,No
682,Yes,Single,174k,No
683,No,Single,169k,Yes
684,No,Married,181k,No
685,No,Married,220k,Yes
686,No,Single,168k,No
687,No,Married,76k,Yes
688,No,Single,146k,Yes
689,No,Single,191k,Yes
690,Yes,Married,114k,No
691,No,Single,247k,No
692,No,Single,109k,No
693,No,Divorced,133k,No
694,Yes,Single,137k,Yes
695,Yes,Single,169k,No
696,Yes,Married,80k,No
697,Yes,Single,220k,No
698,No,Married,77k,No
699,No,Married,121k,No
700,Yes,Single,135k,No
701,No,Single,125k,No
702,No,Married,68k,No
703,No,Single,59k,Yes
704,Yes,Divorced,191k,Yes
705,No,Single,176k,No
706,No,Single,230k,No
707,No,Married,136k,No
708,No,Divorced,130k,Yes
709,No,Single,124k,No
710,Yes,Married,149k,No
711,No,Divorced,140k,Yes
712,No,Married,80k,Yes
713,No,Married,216k,No
714,No,Single,125k,No
715,No,Single,83k,Yes
716,No,Single,104k,No
717,No,Married,61k,No
718,Yes,Married,139k,No
719,No,Married,78k,No
720,No,Single,200k,No
721,No,Single,148k,No
722,No,Single,227k,No
723,Yes,Married,243k,No
724,No,Married,53k,No
725,Yes,Married,179k,Yes
726,No,Single,122k,No
727,Yes,Single,74k,No
728,No,Married,212k,No
729,No,Single,66k,Yes
730,No,Married,124k,Yes
731,Yes,Single,208k,No
732,No,Divorced,53k,No
733,No,Married,220k,No
734,No,Single,178k,Yes
735,No,Single,246k,No
736,Yes,Single,82k,No
737,No,Single,92k,Yes
738,Yes,Married,180k,No
739,No,Single,205k,No
740,No,Divorced,158k,Yes
741,Yes,Single,135k,Yes
742,Yes,Divorced,149k,Yes
743,No,Single,76k,No
744,No,Married,167k,No
745,No,Divorced,177k,No
746,No,Married,179k,Yes
747,No,Married,214k,No
748,No,Married,151k,Yes
749,No,Divorced,53k,Yes
750,No,Divorced,204k,Yes
751,No,Married,144k,No
752,No,Divorced,84k,Yes
753,No,Married,53k,Yes
754,No,Married,67k,Yes
755,No,Divorced,200k,Yes
756,No,Married,142k,No
757,No,Married,159k,No
758,Yes,Single,218k,No
759,No,Single,166k,No
760,No,Single,70k,Yes
761,Yes,Married,59k,No
762,No,Divorced,191k,Yes
763,No,Married,152k,Yes
764,Yes,Married,226k,Yes
765,Yes,Married,112k,No
766,Yes,Married,166k,No
767,No,Married,227k,No
768,No,Single,69k,Yes
769,Yes,Married,100k,No
770,No,Divorced,117k,Yes
771,No,Single,80k,Yes
772,Yes,Married,77k,No
773,Yes,Divorced,187k,No
774,Yes,Single,107k,Yes
775,No,Single,176k,No
776,Yes,Single,164k,No
777,Yes,Single,124k,No
778,No,Married,239k,No
779,Yes,Married,95k,Yes
780,No,Single,106k,No
781,No,Married,173k,No
782,Yes,Married,90k,No
783,No,Single,177k,No
784,No,Married,215k,No
785,No,Single,126k,Yes
786,No,Single,221k,Yes
787,No,Divorced,116k,Yes
788,No,Single,217k,No
789,No,Divorced,76k,Yes
790,No,Single,123k,No
791,No,Single,194k,No
792,No,Single,240k,Yes
793,Yes,Married,224k,No
794,No,Married,234k,Yes
795,No,Married,82k,No
796,Yes,Single,176k,Yes
797,No,Married,117k,No
798,Yes,Married,133k,Yes
799,No,Divorced,140k,Yes
800,No,Married,213k,Yes
801,No,Single,112k,Yes
802,No,Single,217k,No
803,Yes,Divorced,120k,No
804,Yes,Single,90k,No
805,No,Single,202k,No
806,No,Married,156k,No
807,No,Divorced,131k,Yes
808,No,Married,199k,No
809,Yes,Single,235k,No
810,No,Divorced,98k,Yes
811,No,Married,117k,No
812,Yes,Married,64k,Yes
813,No,Single,249k,Yes
814,No,Divorced,118k,No
815,Yes,Divorced,163k,No
816,No,Married,113k,No
817,No,Married,54k,No
818,No,Single,50k,Yes
819,No,Married,88k,Yes
820,No,Married,203k,Yes
821,No,Divorced,221k,Yes
822,No,Married,67k,No
823,No,Single,172k,No
824,No,Single,227k,No
825,Yes,Single,136k,Yes
826,Yes,Single,86k,No
827,No,Married,150k,No
828,Yes,Married,110k,Yes
829,No,Married,153k,No
830,No,Divorced,246k,No
831,Yes,Married,231k,No
832,No,Married,215k,Yes
833,No,Single,103k,No
834,Yes,Married,147k,No
835,No,Married,187k,No
836,Yes,Divorced,232k,No
837,No,Single,68k,Yes
838,No,Married,135k,No
839,Yes,Married,143k,No
840,No,Married,210k,No
841,No,Single,82k,Yes
842,No,Married,95k,No
843,No,Single,120k,No
844,No,Married,118k,No
845,No,Married,153k,Yes
846,No,Married,75k,Yes
847,No,Married,236k,Yes
848,Yes,Single,177k,No
849,No,Single,197k,No
850,No,Divorced,117k,No
851,No,Divorced,61k,Yes
852,Yes,Married,150k,No
853,No,Single,156k,No
854,No,Single,233k,Yes
855,Yes,Married,62k,Yes
856,No,Divorced,238k,No
857,No,Single,144k,No
858,No,Single,212k,Yes
859,No,Single,100k,No
860,No,Married,147k,No
861,Yes,Divorced,189k,No
862,No,Divorced,146k,No
863,Yes,Married,78k,No
864,No,Married,173k,No
865,No,Married,122k,No
866,No,Single,116k,No
867,No,Married,162k,No
868,No,Single,100k,No
869,No,Married,111k,No
870,No,Single,165k,No
871,No,Married,216k,Yes
872,No,Divorced,225k,Yes
873,Yes,Divorced,58k,No
874,No,Single,132k,Yes
875,No,Single,163k,No
876,Yes,Single,171k,No
877,No,Single,168k,Yes
878,No,Married,168k,No
879,Yes,Single,105k,No
880,No,Single,189k,No
881,Yes,Married,126k,No
882,No,Divorced,242k,Yes
883,No,Single,91k,Yes
884,No,Divorced,141k,No
885,Yes,Single,247k,No
886,No,Divorced,69k,No
887,Yes,Single,56k,Yes
888,No,Married,96k,No
889,No,Married,186k,No
890,Yes,Single,101k,No
891,No,Divorced,241k,Yes
892,No,Married,218k,No
893,No,Single,124k,No
894,No,Single,207k,Yes
895,Yes,Divorced,172k,No
896,No,Single,123k,Yes
897,Yes,Divorced,132k,No
898,Yes,Single,131k,Yes
899,No,Married,161k,No
900,No,Married,86k,Yes
901,No,Single,235k,No
902,No,Single,223k,No
903,Yes,Single,103k,Yes
904,No,Married,225k,No
905,No,Married,237k,Yes
906,No,Divorced,133k,Yes
907,No,Married,190k,Yes
908,No,Married,245k,No
909,Yes,Single,72k,No
910,Yes,Single,52k,No
911,No,Divorced,128k,Yes
912,No,Married,55k,No
913,Yes,Divorced,58k,No
914,Yes,Single,80k,No
915,No,Divorced,152k,Yes
916,No,Divorced,233k,Yes
917,No,Single,228k,No
918,No,Married,61k,Yes
919,No,Single,219k,No
920,No,Divorced,137k,Yes
921,No,Divorced,223k,Yes
922,No,Married,175k,No
923,No,Single,66k,Yes
924,No,Divorced,118k,Yes
925,Yes,Divorced,195k,No
926,No,Single,226k,No
927,No,Single,180k,Yes
928,No,Married,95k,No
929,No,Single,79k,No
930,No,Married,57k,No
931,Yes,Single,130k,No
932,No,Single,129k,No
933,Yes,Married,50k,No
934,No,Divorced,178k,Yes
935,Yes,Married,229k,No
936,Yes,Single,175k,No
937,No,Divorced,79k,No
938,No,Divorced,242k,Yes
939,Yes,Married,117k,No
940,Yes,Single,61k,Yes
941,No,Married,233k,No
942,No,Single,200k,No
943,No,Married,61k,No
944,Yes,Married,155k,Yes
945,No,Married,147k,No
946,No,Married,160k,No
947,Yes,Married,82k,No
948,No,Married,97k,Yes
949,No,Divorced,175k,Yes
950,No,Married,165k,Yes
951,No,Married,180k,No
952,No,Single,89k,Yes
953,No,Married,53k,Yes
954,No,Divorced,123k,Yes
955,No,Divorced,237k,Yes
956,No,Married,155k,No
957,No,Single,181k,No
958,No,Single,157k,No
959,No,Married,245k,Yes
960,No,Married,142k,Yes
961,No,Married,249k,Yes
962,Yes,Married,158k,No
963,Yes,Married,81k,No
964,No,Married,53k,No
965,Yes,Married,176k,No
966,No,Married,193k,No
967,No,Single,137k,No
968,No,Divorced,202k,Yes
969,Yes,Divorced,232k,No
970,Yes,Married,189k,Yes
971,No,Single,68k,Yes
972,Yes,Married,172k,No
973,No,Married,65k,Yes
974,No,Single,57k,Yes
975,No,Married,150k,No
976,Yes,Married,185k,No
977,No,Divorced,249k,No
978,No,Divorced,84k,Yes
979,No,Married,103k,No
980,Yes,Single,141k,No
981,No,Married,84k,Yes
982,Yes,Single,109k,No
983,Yes,Divorced,180k,No
984,No,Single,218k,No
985,No,Divorced,226k,Yes
986,No,Divorced,105k,No
987,No,Divorced,116k,Yes
988,No,Married,183k,No
989,No,Married,55k,No
990,No,Married,147k,No
991,No,Single,216k,No
992,No,Married,191k,Yes
993,Yes,Married,212k,No
994,No,Married,132k,No
995,No,Single,71k,Yes
996,No,Single,211k,Yes
997,Yes,Single,173k,No
998,No,Single,117k,Yes
999,No,Single,169k,Yes
1000,Yes,Single,61k,Yes
