Refund,Marital Status,Taxable Income,Cheat
No,Single,192k,No
No,Divorced,131k,No
No,Married,172k,No
Yes,Single,86k,No
No,Married,81k,No
Yes,Single,236k,No
No,Single,79k,Yes
No,Single,238k,No
No,Single,148k,Yes
No,Divorced,247k,No
No,Single,102k,No
Yes,Single,121k,No
No,Single,150k,No
Yes,Single,227k,No
No,Single,100k,No
No,Married,73k,No
Yes,Divorced,163k,No
Yes,Divorced,161k,Yes
Yes,Single,88k,No
No,Single,158k,No
No,Married,133k,Yes
No,Married,209k,No
Yes,Single,130k,No
Yes,Single,183k,No
No,Single,76k,Yes
No,Single,191k,Yes
No,Single,181k,No
No,Single,185k,Yes
No,Divorced,198k,Yes
No,Single,71k,Yes
Yes,Married,159k,No
No,Divorced,144k,No
No,Married,241k,No
No,Married,196k,No
No,Single,245k,Yes
No,Married,82k,Yes
Yes,Married,145k,No
No,Divorced,98k,Yes
No,Divorced,169k,No
Yes,Divorced,222k,No
Yes,Married,243k,No
No,Married,217k,No
Yes,Single,172k,No
No,Single,156k,No
No,Single,198k,Yes
Yes,Married,239k,No
No,Single,180k,No
No,Married,213k,Yes
No,Married,123k,No
No,Divorced,230k,No
No,Married,187k,No
No,Married,56k,No
Yes,Married,163k,No
No,Married,129k,Yes
No,Single,167k,No
No,Divorced,174k,No
No,Single,130k,No
No,Divorced,241k,Yes
No,Divorced,160k,No
Yes,Married,160k,No
No,Single,84k,Yes
Yes,Married,168k,No
Yes,Single,135k,No
No,Married,189k,No
No,Married,62k,No
No,Single,135k,No
No,Divorced,173k,Yes
Yes,Divorced,231k,No
No,Single,142k,Yes
Yes,Married,232k,No
No,Single,215k,No
No,Divorced,220k,No
No,Single,121k,Yes
No,Single,232k,Yes
No,Married,94k,No
No,Married,101k,No
No,Married,127k,No
No,Married,80k,No
Yes,Single,97k,No
Yes,Married,73k,No
Yes,Divorced,69k,No
Yes,Married,124k,No
No,Married,93k,No
No,Single,123k,No
Yes,Married,89k,Yes
Yes,Married,246k,No
No,Single,181k,No
Yes,Married,144k,No
No,Single,126k,No
No,Married,186k,No
No,Married,93k,No
No,Married,193k,No
No,Married,111k,No
No,Divorced,208k,No
Yes,Married,237k,No
Yes,Married,97k,No
No,Married,163k,No
No,Divorced,58k,Yes
Yes,Divorced,199k,No
No,Married,239k,No
Yes,Single,61k,No
No,Married,119k,No
No,Married,183k,No
Yes,Single,231k,No
No,Married,169k,No
No,Single,106k,No
No,Single,248k,No
No,Single,169k,No
No,Single,157k,Yes
Yes,Single,128k,No
No,Divorced,228k,Yes
No,Married,110k,No
Yes,Divorced,159k,No
No,Single,138k,Yes
No,Single,92k,Yes
No,Married,65k,No
No,Divorced,204k,Yes
Yes,Divorced,105k,No
No,Single,141k,No
No,Divorced,175k,No
Yes,Married,130k,No
No,Married,97k,Yes
Yes,Single,69k,No
Yes,Divorced,212k,No
Yes,Single,118k,No
No,Married,107k,No
No,Single,144k,No
Yes,Divorced,81k,No
No,Single,71k,Yes
No,Single,117k,No
No,Single,153k,No
No,Single,184k,No
Yes,Single,161k,No
No,Married,193k,No
No,Married,88k,Yes
No,Married,167k,No
No,Divorced,109k,Yes
Yes,Single,210k,No
Yes,Single,56k,No
No,Single,249k,Yes
Yes,Married,106k,No
No,Single,148k,No
No,Single,162k,No
No,Married,136k,No
No,Single,155k,No
No,Single,236k,No
Yes,Single,160k,No
No,Single,195k,No
No,Divorced,81k,Yes
No,Single,156k,No
No,Divorced,128k,No
No,Single,56k,Yes
Yes,Single,147k,No
Yes,Married,98k,No
No,Single,145k,No
No,Single,69k,Yes
No,Married,157k,No
Yes,Single,171k,Yes
No,Divorced,59k,Yes
No,Married,121k,No
No,Divorced,89k,Yes
No,Single,117k,No
Yes,Single,192k,No
No,Single,193k,No
No,Married,213k,No
No,Married,137k,No
Yes,Single,237k,No
Yes,Single,91k,Yes
No,Single,212k,No
No,Single,158k,No
No,Married,112k,No
No,Married,184k,No
No,Divorced,76k,Yes
No,Single,168k,No
No,Single,212k,Yes
No,Single,116k,No
No,Married,116k,No
Yes,Married,135k,No
No,Single,197k,No
No,Married,235k,No
No,Single,92k,Yes
Yes,Single,225k,No
Yes,Married,53k,No
No,Married,85k,No
Yes,Single,224k,No
No,Divorced,86k,Yes
Yes,Married,81k,Yes
Yes,Single,191k,No
No,Single,136k,Yes
No,Divorced,94k,Yes
No,Single,220k,No
No,Married,87k,Yes
No,Married,193k,No
No,Married,78k,No
No,Divorced,163k,No
No,Single,198k,No
Yes,Married,134k,No
No,Single,118k,No
Yes,Single,249k,No
No,Single,97k,Yes
No,Single,103k,Yes
No,Single,142k,No
No,Single,194k,No
No,Single,99k,Yes
No,Divorced,166k,No
No,Single,57k,Yes
No,Married,226k,No
No,Married,131k,No
No,Divorced,66k,Yes
No,Single,188k,No
Yes,Divorced,179k,No
No,Divorced,76k,Yes
No,Married,234k,No
No,Married,52k,No
Yes,Single,146k,No
Yes,Divorced,214k,No
No,Single,123k,No
No,Married,119k,No
No,Single,244k,No
No,Single,141k,No
Yes,Single,162k,No
No,Single,74k,Yes
No,Married,249k,No
No,Single,247k,No
No,Single,174k,Yes
Yes,Married,235k,No
No,Divorced,68k,Yes
No,Divorced,134k,Yes
No,Married,52k,No
No,Single,218k,No
No,Single,165k,Yes
No,Married,198k,Yes
Yes,Married,245k,No
No,Married,159k,No
No,Single,191k,No
No,Single,214k,No
Yes,Single,64k,Yes
Yes,Married,117k,No
No,Married,194k,No
No,Single,178k,No
Yes,Divorced,87k,No
No,Married,118k,No
No,Married,115k,No
No,Single,53k,Yes
No,Single,123k,Yes
Yes,Single,165k,No
No,Single,180k,Yes
No,Married,67k,No
Yes,Single,76k,No
No,Divorced,107k,Yes
No,Single,97k,Yes
No,Single,228k,No
No,Single,220k,No
No,Divorced,240k,Yes
No,Divorced,149k,No
No,Single,215k,Yes
No,Single,104k,No
Yes,Married,172k,No
Yes,Single,140k,No
No,Single,68k,Yes
No,Married,144k,Yes
No,Single,68k,Yes
No,Married,210k,No
No,Married,74k,No
No,Single,201k,No
Yes,Divorced,70k,No
No,Divorced,151k,No
No,Single,217k,No
No,Single,165k,No
Yes,Married,53k,No
Yes,Married,84k,No
No,Single,122k,No
No,Divorced,204k,No
No,Married,104k,No
No,Single,239k,No
No,Divorced,56k,Yes
No,Single,69k,Yes
No,Married,132k,No
No,Single,108k,Yes
No,Single,110k,No
No,Divorced,67k,Yes
No,Married,221k,Yes
No,Married,180k,No
Yes,Single,244k,No
No,Single,220k,No
No,Divorced,223k,No
No,Married,81k,No
Yes,Single,145k,Yes
No,Single,142k,No
No,Divorced,74k,Yes
No,Married,82k,No
Yes,Married,183k,No
No,Single,114k,No
No,Single,107k,No
Yes,Single,86k,Yes
Yes,Divorced,90k,No
No,Single,212k,No
No,Divorced,158k,No
Yes,Married,78k,No
No,Single,189k,No
No,Married,192k,No
No,Single,159k,No
Yes,Married,222k,No
No,Single,178k,No
No,Married,86k,No
No,Divorced,153k,No
Yes,Married,107k,No
No,Married,143k,No
No,Single,131k,No
Yes,Married,193k,No
No,Divorced,226k,No
No,Single,176k,Yes
No,Married,242k,No
No,Divorced,51k,Yes
No,Single,114k,No
No,Single,128k,No
No,Single,98k,Yes
No,Married,247k,No
No,Single,204k,No
No,Married,147k,No
Yes,Married,72k,No
Yes,Single,58k,No
No,Married,218k,No
No,Married,153k,No
No,Divorced,217k,No
No,Married,105k,No
Yes,Married,159k,No
No,Divorced,69k,Yes
Yes,Single,229k,No
No,Single,167k,No
No,Married,242k,No
No,Divorced,143k,No
No,Single,81k,Yes
No,Married,221k,No
No,Single,158k,No
Yes,Divorced,90k,Yes
No,Single,163k,Yes
Yes,Married,179k,No
No,Single,176k,No
No,Single,203k,No
Yes,Divorced,220k,No
No,Married,186k,No
No,Married,171k,No
No,Married,153k,No
No,Single,118k,No
No,Single,66k,Yes
No,Single,113k,No
No,Married,196k,No
No,Married,151k,No
Yes,Married,76k,No
No,Single,233k,No
Yes,Married,178k,No
No,Married,129k,No
No,Single,102k,Yes
No,Single,92k,Yes
No,Married,146k,No
No,Divorced,238k,No
No,Divorced,119k,Yes
Yes,Single,95k,No
Yes,Single,116k,No
Yes,Single,57k,No
Yes,Married,152k,No
No,Divorced,209k,No
No,Single,246k,No
No,Married,118k,No
No,Married,220k,No
Yes,Married,147k,No
Yes,Married,120k,No
No,Single,194k,No
No,Married,68k,No
Yes,Divorced,81k,No
No,Single,86k,Yes
Yes,Married,67k,No
No,Single,229k,Yes
No,Divorced,192k,No
No,Single,188k,No
No,Divorced,234k,No
Yes,Single,231k,No
No,Married,197k,No
No,Single,107k,No
No,Divorced,90k,Yes
No,Divorced,55k,Yes
No,Married,229k,No
No,Single,94k,Yes
Yes,Married,58k,No
Yes,Single,56k,No
Yes,Single,208k,No
No,Married,248k,No
Yes,Single,106k,Yes
No,Married,137k,No
No,Divorced,113k,Yes
Yes,Married,187k,No
No,Married,142k,No
Yes,Divorced,96k,No
Yes,Married,107k,No
No,Single,221k,No
No,Married,200k,Yes
Yes,Single,129k,No
No,Single,59k,Yes
No,Married,70k,No
No,Married,61k,No
No,Single,143k,No
Yes,Divorced,85k,No
No,Single,104k,No
Yes,Married,244k,No
Yes,Divorced,53k,No
Yes,Divorced,161k,Yes
Yes,Single,179k,Yes
No,Single,85k,Yes
Yes,Married,61k,No
Yes,Married,240k,No
No,Married,146k,No
Yes,Single,68k,Yes
No,Married,82k,No
Yes,Single,188k,No
No,Divorced,165k,No
No,Divorced,71k,Yes
No,Single,131k,Yes
No,Married,98k,No
No,Married,127k,No
No,Married,141k,No
No,Married,100k,No
No,Married,165k,No
No,Single,92k,Yes
Yes,Married,105k,Yes
Yes,Married,180k,No
No,Single,56k,Yes
Yes,Single,129k,Yes
No,Divorced,197k,No
No,Married,133k,No
Yes,Married,210k,No
No,Married,170k,No
No,Married,227k,Yes
No,Divorced,92k,Yes
No,Married,125k,No
No,Single,195k,No
Yes,Divorced,124k,No
No,Single,175k,No
No,Divorced,184k,No
No,Married,155k,No
No,Married,171k,No
No,Married,66k,No
No,Single,166k,No
Yes,Single,202k,No
No,Married,116k,No
No,Single,142k,No
No,Married,176k,No
No,Married,181k,No
Yes,Single,166k,No
No,Divorced,229k,No
No,Single,128k,No
Yes,Divorced,129k,No
Yes,Divorced,184k,No
No,Married,218k,No
No,Divorced,218k,Yes
No,Single,118k,Yes
No,Single,98k,Yes
No,Married,118k,Yes
No,Single,240k,No
No,Married,153k,No
No,Married,179k,No
No,Single,142k,No
No,Married,109k,No
No,Single,90k,Yes
No,Single,121k,No
Yes,Single,77k,No
No,Divorced,126k,No
No,Single,171k,No
No,Single,186k,Yes
Yes,Single,234k,No
No,Married,245k,No
Yes,Divorced,145k,No
No,Single,63k,Yes
No,Single,217k,No
Yes,Divorced,174k,Yes
Yes,Married,174k,No
No,Married,218k,Yes
No,Divorced,203k,No
No,Married,99k,No
No,Married,98k,No
Yes,Married,240k,No
No,Single,219k,No
Yes,Single,77k,Yes
Yes,Single,64k,No
Yes,Married,211k,No
No,Single,161k,No
No,Single,220k,No
No,Married,72k,No
Yes,Single,174k,No
No,Married,241k,No
Yes,Divorced,244k,No
No,Married,132k,Yes
No,Single,55k,Yes
Yes,Divorced,183k,No
No,Married,100k,No
No,Married,167k,No
No,Single,164k,No
No,Married,129k,No
Yes,Married,213k,No
No,Married,148k,No
No,Divorced,155k,Yes
Yes,Single,109k,No
No,Married,225k,No
Yes,Single,207k,No
No,Married,240k,No
No,Single,159k,No
No,Single,149k,No
No,Divorced,101k,Yes
No,Married,180k,No
No,Divorced,152k,No
No,Married,139k,No
No,Single,234k,No
No,Single,56k,Yes
Yes,Married,135k,No
No,Single,248k,No
No,Married,93k,Yes
No,Married,177k,No
No,Married,88k,No
Yes,Married,196k,No
No,Married,126k,No
No,Single,128k,No
Yes,Single,106k,No
Yes,Single,190k,No
No,Married,154k,No
Yes,Single,210k,No
Yes,Single,80k,Yes
No,Single,100k,No
No,Married,57k,No
Yes,Single,213k,No
No,Married,138k,No
No,Divorced,233k,No
No,Divorced,199k,No
No,Single,193k,No
No,Single,139k,No
No,Single,97k,Yes
No,Married,94k,No
No,Single,133k,Yes
Yes,Single,109k,No
No,Divorced,245k,No
No,Married,202k,No
No,Married,249k,Yes
No,Divorced,66k,Yes
No,Married,232k,No
No,Single,90k,Yes
No,Single,172k,No
Yes,Single,115k,No
Yes,Single,118k,No
No,Married,95k,No
Yes,Divorced,172k,No
Yes,Married,247k,No
No,Married,166k,No
No,Married,152k,No
Yes,Married,200k,No
No,Married,108k,No
Yes,Single,219k,No
No,Married,124k,No
No,Divorced,195k,No
No,Married,169k,No
No,Single,202k,Yes
No,Divorced,69k,Yes
Yes,Married,138k,No
No,Single,125k,No
No,Single,79k,Yes
Yes,Single,152k,No
No,Married,164k,No
No,Single,236k,No
No,Divorced,226k,No
No,Married,138k,Yes
No,Married,53k,No
No,Single,69k,Yes
Yes,Single,96k,Yes
No,Single,216k,No
Yes,Married,108k,No
Yes,Single,237k,No
Yes,Single,57k,No
No,Married,134k,No
No,Married,133k,No
No,Divorced,61k,Yes
No,Single,222k,No
No,Single,179k,No
Yes,Married,120k,Yes
No,Single,98k,Yes
No,Single,224k,No
No,Married,214k,No
No,Single,51k,Yes
Yes,Married,150k,No
Yes,Single,144k,Yes
No,Single,88k,Yes
No,Married,209k,No
No,Married,218k,No
Yes,Single,239k,No
Yes,Married,58k,No
No,Single,164k,No
No,Married,239k,Yes
No,Single,122k,No
Yes,Single,219k,No
No,Single,62k,Yes
Yes,Single,59k,No
Yes,Single,168k,No
Yes,Married,94k,No
No,Married,157k,No
No,Married,151k,No
No,Divorced,57k,Yes
Yes,Single,52k,No
No,Divorced,125k,No
No,Single,150k,No
No,Divorced,78k,Yes
No,Single,124k,No
Yes,Divorced,76k,No
No,Single,153k,Yes
No,Single,196k,Yes
No,Divorced,144k,No
No,Married,201k,Yes
Yes,Single,176k,No
No,Single,155k,No
Yes,Married,221k,No
Yes,Married,123k,No
No,Single,120k,No
No,Divorced,118k,Yes
Yes,Married,208k,No
Yes,Divorced,102k,No
No,Married,80k,No
Yes,Single,122k,No
No,Single,163k,No
Yes,Married,239k,No
No,Married,226k,No
No,Single,131k,No
No,Married,212k,No
No,Divorced,103k,Yes
Yes,Married,229k,No
Yes,Married,98k,No
Yes,Married,144k,Yes
Yes,Single,59k,No
No,Single,117k,No
No,Single,79k,Yes
Yes,Married,174k,No
Yes,Single,66k,No
No,Single,233k,No
No,Single,225k,No
No,Married,217k,No
No,Married,135k,No
No,Married,172k,No
No,Divorced,176k,No
No,Married,65k,No
No,Single,75k,Yes
No,Married,126k,No
No,Married,123k,No
No,Married,154k,No
No,Single,80k,Yes
Yes,Single,70k,Yes
No,Married,199k,No
No,Married,166k,No
No,Single,105k,No
Yes,Single,87k,No
Yes,Divorced,246k,No
No,Married,90k,No
No,Married,63k,No
Yes,Married,161k,No
Yes,Single,220k,No
No,Married,104k,No
No,Single,179k,No
No,Single,218k,Yes
No,Single,170k,No
No,Married,60k,No
Yes,Divorced,184k,No
No,Divorced,115k,Yes
Yes,Married,94k,No
Yes,Single,226k,No
No,Married,240k,No
Yes,Married,110k,No
No,Married,218k,No
Yes,Single,109k,Yes
No,Single,234k,No
No,Divorced,209k,No
No,Married,111k,No
No,Married,145k,No
Yes,Married,197k,No
No,Married,227k,No
Yes,Married,61k,No
No,Single,95k,Yes
No,Single,149k,No
No,Divorced,189k,Yes
Yes,Single,248k,No
No,Single,67k,Yes
No,Married,102k,No
No,Divorced,130k,No
Yes,Married,135k,No
Yes,Married,71k,No
No,Single,168k,No
No,Single,185k,No
No,Divorced,144k,No
No,Married,82k,No
No,Single,196k,No
No,Single,211k,No
No,Married,127k,Yes
No,Married,173k,No
No,Single,186k,No
No,Married,236k,Yes
No,Divorced,166k,No
Yes,Single,92k,Yes
No,Single,86k,Yes
No,Married,123k,No
No,Single,137k,No
Yes,Married,74k,Yes
Yes,Single,219k,No
No,Married,224k,No
No,Married,162k,No
Yes,Married,77k,No
No,Married,191k,No
Yes,Divorced,220k,No
No,Single,223k,Yes
Yes,Married,179k,Yes
Yes,Single,93k,No
No,Single,51k,Yes
No,Single,142k,No
Yes,Divorced,190k,No
No,Married,169k,No
No,Married,182k,No
No,Single,198k,No
Yes,Married,197k,No
No,Single,70k,Yes
No,Married,108k,No
Yes,Single,146k,No
No,Single,229k,No
No,Single,77k,Yes
No,Married,110k,No
No,Divorced,102k,Yes
Yes,Single,73k,No
No,Married,143k,No
Yes,Divorced,66k,Yes
No,Divorced,74k,Yes
Yes,Divorced,102k,Yes
Yes,Married,165k,No
No,Single,72k,Yes
No,Divorced,183k,No
Yes,Divorced,159k,No
Yes,Divorced,158k,No
Yes,Married,139k,No
No,Married,130k,No
No,Single,198k,No
No,Married,61k,No
No,Single,120k,No
Yes,Married,91k,No
Yes,Married,55k,No
Yes,Single,190k,No
No,Single,76k,Yes
No,Divorced,221k,No
No,Married,181k,No
No,Married,240k,No
No,Divorced,201k,No
No,Divorced,63k,Yes
No,Divorced,190k,No
No,Single,174k,No
Yes,Married,197k,No
Yes,Divorced,249k,No
No,Married,130k,No
No,Single,242k,No
No,Married,71k,No
No,Divorced,204k,Yes
No,Single,175k,No
Yes,Married,150k,Yes
Yes,Married,121k,No
No,Single,150k,No
No,Married,206k,No
Yes,Married,188k,No
Yes,Single,170k,Yes
No,Married,222k,Yes
No,Single,73k,Yes
No,Divorced,60k,Yes
No,Single,81k,Yes
No,Divorced,119k,Yes
No,Married,122k,Yes
No,Married,245k,No
No,Married,187k,No
No,Married,85k,No
No,Single,109k,No
Yes,Single,233k,No
No,Divorced,137k,No
Yes,Married,245k,No
No,Single,66k,Yes
No,Married,62k,Yes
No,Married,227k,No
No,Married,65k,No
Yes,Divorced,239k,No
No,Married,103k,No
No,Divorced,237k,No
Yes,Single,114k,No
Yes,Divorced,232k,No
No,Single,55k,Yes
No,Married,95k,No
No,Single,138k,No
No,Divorced,228k,No
Yes,Married,177k,No
No,Divorced,171k,No
Yes,Married,217k,No
Yes,Divorced,145k,No
Yes,Divorced,213k,No
No,Married,101k,Yes
No,Divorced,171k,Yes
No,Married,195k,No
No,Divorced,153k,No
Yes,Divorced,200k,No
No,Single,82k,Yes
Yes,Married,143k,No
No,Divorced,101k,Yes
No,Single,135k,No
No,Divorced,126k,No
No,Married,232k,No
Yes,Single,124k,Yes
No,Divorced,205k,No
No,Single,140k,No
No,Divorced,190k,No
Yes,Married,213k,No
No,Married,150k,Yes
No,Single,165k,No
Yes,Married,118k,No
Yes,Married,162k,No
No,Divorced,104k,Yes
No,Divorced,116k,Yes
No,Single,207k,No
Yes,Single,230k,No
Yes,Married,188k,No
No,Divorced,84k,Yes
Yes,Divorced,242k,No
No,Married,57k,No
Yes,Married,51k,Yes
No,Single,239k,No
No,Married,201k,No
No,Divorced,125k,No
Yes,Single,153k,No
Yes,Single,73k,No
No,Married,66k,No
No,Married,137k,No
No,Single,111k,No
Yes,Divorced,91k,No
No,Single,132k,No
Yes,Married,171k,No
No,Divorced,63k,Yes
Yes,Single,134k,No
No,Married,114k,No
No,Married,78k,Yes
No,Single,146k,Yes
Yes,Single,228k,No
Yes,Divorced,142k,Yes
No,Single,163k,No
No,Single,144k,No
Yes,Married,243k,No
Yes,Divorced,113k,No
No,Single,192k,No
No,Married,87k,No
Yes,Single,176k,Yes
Yes,Divorced,183k,No
No,Married,63k,No
Yes,Married,171k,Yes
No,Divorced,94k,Yes
Yes,Married,197k,No
Yes,Single,83k,No
No,Divorced,174k,No
No,Single,124k,No
No,Married,206k,No
No,Single,178k,No
No,Single,223k,No
No,Divorced,241k,No
Yes,Single,64k,No
No,Married,85k,No
No,Divorced,126k,No
No,Divorced,121k,No
No,Divorced,199k,No
Yes,Married,67k,No
No,Married,175k,No
No,Divorced,169k,No
No,Divorced,82k,Yes
No,Married,88k,No
No,Single,183k,No
No,Single,70k,Yes
No,Divorced,195k,No
No,Divorced,211k,No
No,Married,62k,No
No,Single,246k,Yes
No,Single,62k,Yes
Yes,Single,184k,No
Yes,Single,54k,No
Yes,Divorced,155k,No
Yes,Married,114k,No
Yes,Divorced,188k,No
Yes,Married,125k,No
Yes,Married,227k,No
Yes,Married,94k,Yes
No,Single,219k,No
No,Married,202k,No
Yes,Single,226k,No
Yes,Married,121k,No
No,Single,214k,No
No,Married,113k,No
No,Single,149k,No
Yes,Divorced,152k,Yes
No,Single,57k,Yes
Yes,Single,85k,No
No,Married,208k,No
Yes,Single,194k,No
No,Single,200k,No
No,Divorced,126k,No
No,Divorced,173k,No
No,Single,109k,No
No,Single,223k,No
No,Single,218k,No
No,Married,173k,No
Yes,Married,230k,No
No,Single,76k,Yes
No,Divorced,211k,No
No,Single,130k,No
No,Married,238k,No
No,Single,182k,No
No,Married,150k,No
Yes,Single,247k,No
No,Married,164k,Yes
No,Divorced,226k,No
No,Married,73k,Yes
No,Single,175k,Yes
No,Single,184k,No
Yes,Single,90k,No
No,Single,185k,No
Yes,Married,168k,No
No,Divorced,167k,No
No,Divorced,143k,No
Yes,Married,210k,No
No,Married,194k,No
No,Married,99k,Yes
No,Single,193k,No
No,Divorced,112k,Yes
No,Single,91k,Yes
No,Single,110k,No
No,Single,212k,No
No,Divorced,96k,Yes
Yes,Divorced,193k,No
No,Single,163k,No
No,Married,117k,No
No,Single,164k,No
No,Single,193k,No
Yes,Single,100k,No
No,Single,63k,Yes
No,Divorced,57k,Yes
No,Divorced,77k,Yes
No,Single,93k,Yes
No,Married,152k,No
No,Divorced,219k,No
Yes,Single,58k,No
Yes,Single,175k,No
No,Married,108k,No
No,Divorced,121k,No
Yes,Married,64k,No
No,Married,109k,No
No,Single,58k,Yes
No,Divorced,169k,No
No,Single,244k,No
Yes,Single,72k,No
Yes,Divorced,204k,No
No,Single,228k,Yes
No,Single,238k,No
No,Divorced,188k,No
No,Single,83k,Yes
Yes,Single,213k,No
No,Single,147k,No
No,Divorced,168k,No
Yes,Divorced,119k,No
No,Divorced,230k,No
Yes,Divorced,152k,No
