Document_ID,Text
116,mcclaren targets champions league middlesbrough boss steve mcclaren believes his side can clinch a topfour spot in the premiership and secure qualification for the champions league after their 32 win over manchester city mcclaren said we are playing exciting football its a magnificent result to keep us in the top five but how well we do depends how often we can get our best team out once we got the third goal it should have been four or five but we nearly paid for it in the end mcclaren also praised winger stewart downing and strikers jimmy floyd hasselbaink and mark viduka who both ended barren runs in front of goal he added if stewart keeps playing like this svengoran eriksson has got to pick him and the strikers scored great goals the combination play between them shows they want to play with each other and they are trying
117,scotland v italy sat murrayfield edinburgh saturday 26 february 1400 gmt bbc1 five live and this website victory for the azzurri in rome last year saw scotland end their campaign without a victory and the pressure is on scotland coach matt williams as he seeks a first six nations victory at the eighth attempt italy have lost both their opening games at home to ireland and wales but travel to edinburgh with high hopes their coach john kirwan has warned his side they must eradicate the errors that blighted their loss to wales however or risk suffering a third successive defeat if the defeat against wales has taught us anything its that at this level we cant make any mistakes kirwan said in the six nations every error you make will come at a high price we have to be aggressive for 80 minutes keep calm in every situation and display great maturity on the pitch it will be fundamental to keep cool in the difficult moments in the key situations of the game kirwan has recalled the experienced cristian stoica at centre and drafted in david dal maso at openside after star flanker mauro bergamasco was ruled out for the rest of the tournament scotland have also made two changes simon webster replacing simon danielli on the wing and simon taylor returning for his first test in a year for injured flanker jason white taylors recovery from a serious knee injury is a major boost to scottish hopes he is one of the worldclass players in the tournament and you want them in your team acknowledged williams despite a record of only two victories from 14 tests williams insists he is revelling in the pressure i actually really enjoy seeing how you cope with such pressure as a coach he said optimistic despite opening defeats to france and ireland we were confident for those two first games and we are confident we can beat italy too he added c paterson s webster a craig h southwell s lamont d parks c cusiter t smith g bulloch capt g kerr s grimes s murray s taylor j petrie a hogg r russell b douglas n hines j dunbar m blair g ross b hinshelwood r de marigny mirco bergamasco c stoica a masi l nitoglia l orquera a troncon a lo cicero f ongaro m castrogiovanni s dellape m bortolami capt a persico d dal maso s parisse g intoppa s perugini ca del fava s orlando p griffen r pedrazzi kp robertson
118,what now for kelly holmes last april kelly holmes spoke to the bbc sport website about her loneliness her fight to stay fit and her decision not to contest both the 800m and 1500m at the olympics it just goes to show even the most meticulous and measured athletes cannot predict what fate has in store for them four months later holmes stormed to double olympic gold and has since been made a dame won the bbc sport personality of the year and written a book whilst still finding time to coach aspiring athletes with so much time spent in the spotlight holmes has increasingly dropped hints that her ambition on the track has begun to wilt and when asked about her plans for both the indoor and outdoor seasons ahead the 34yearold has repeatedly chosen to tick the dont know box holmes has now pulled out of this weekends european indoor championships where she was selected for both the 800m and 1500m because of a hamstring injury but should we be surprised if the olympic champion over both those distances decides she just does not feel like racing anymore well its a lot easier being the double olympic champion being feted by everybody than training to be at the top in middle distance running points out former olympian and bbc pundit steve cram you have to have a real strong desire to carry on doing it even if youre very talented holmes drive and determination have always been unquestionable that is the reason she has battled back from a string of injuries that threatened to see her finish her career emptyhanded but alarm bells start ringing when the kent athlete begins questioning herself will i have as much commitment desire and energy to go through a major championship holmes asked in the new year that is what i dont know at 34 holmes will also be aware that time is running out us 400m and 200m legend michael johnson a fivetime olympic gold medallist retired shortly after his 34th birthday as did britains double olympic champion decathlete daley thompson the physical demands of the daytoday grind will only get harder for holmes who has already admitted she doesnt like the training anymore whilst out on the circuit the allure of defeating a double olympic champion will spur her opponents on holmes will not want to needlessly suffer the indignity of being beaten unless she is certain she has a strong chance of winning any race she will not step onto the track but if the kent athlete finds the form that fuelled her ambitions last summer there are more prizes up for grabs the day after completing her double in athens the 34yearold revealed she would still like to win her first indoors title holmes wish could easily be met in madrid before she goes on to prepare for the outdoor season where there are still scores to be settled such as a first gold at the world championships in helsinki there is just one small truth which could gnaw away at holmes motivation the realisation that no matter how hard she trains nothing she wins now can surpass her achievements in athens on the other hand if those achievements cannot be matched shouldnt they be at least shared and celebrated you dont get the chance very often in your career to step onto the track as the double olympic champion agreed cram you want to be able to take your bow in front of the fans because its a fantastic feeling i think deep down kelly wants to run i think she will compete and run races on the circuits but whether or not she runs in the major championships is much less certain athletics fans had every reason to believe they would see the newlook kelly holmes tearing up the track again after her olympic glory she emphatically denied she planned to retire so why is holmes dragging her heels about making a decision on where when or whether to even bother competing again thats just kelly explains cram shes always been like that she enjoys people trying to guess what she is going to do next she knows every time she makes a pronouncement now its headline news kelly has to figure out for herself what it is she wants and that will be based on athletics decisions whether she can be competitive if she is fit enough to put her neck on the line and if she decides not to run again noone is going to turn round and say youre making the wrong decision
119,collins named uk athletics chief uk athletics has ended its search for a new performance director by appointing psychologist dave collins collins who worked with the british teams at the 2000 and 2004 olympics takes over from max jones six candidates were interviewed for the job including denise lewis coach charles van commenee and former british triple jumper keith connor weve searched long and hard to ensure we have found the right person said uka chief executive david moorcroft we have thoroughly tested the candidates i believe david will make a great leader and i have great faith in what he will achieve collins said its a great challenge over the next few months i will spend time listening to those who already make a significant contribution to athletics and other elite sports in the uk collins who has worked with javelin thrower steve backley in the past started his career as a royal marine before becoming a pe teacher he is currently professor of physical education and sport performance at edinburgh university where he helps competitors across many sports including rugby athletics judo and football he has specialised in helping competitors fulfil their potential through psychology and has worked with the great britain womens curling team who won gold at the 2002 winter olympics mark lewisfrancis sought collins advice in athens when he was looking for inspiration before he ran the final leg of britains surprise triumph in the 4x100m relay collins has played rugby at regional level was captain of the great britain american football team and competed at national level in judo and karate he arrives with british athletics at a crossroads despite kelly holmes golden double and the success of the sprint relay squad the gb team failed to live up to expectations in athens many older competitors have retired or are coming to the end of their careers and britain failed to win a single medal at the world junior championships in italy this year collins will not have daytoday coaching contact with the athletes but will be expected to make changes to the system and coaching setup in order to secure medals at the beijing olympics in 2008 the appointment of a new performance director was one of the main recommendations in sir andrew fosters review of the sport which was published in may it was commissioned by uk sport and sport england which wanted uk athletics to justify funding of more than 40m from the government following the failure to hang on to the 2005 world championships which are now being held in helsinki van commenee dropped out of the selection process to take on the same role with the dutch olympic committee while connors application was rejected after an arduous interview process foster however declared himself satisfied with how the appointment was made the appointment of david collins with his strong mix of leadership skills and managerial experience is testament to the professional and detailed recruitment process he said
120,trial date is set for balco case a us judge has set a preliminary trial date for the balco steroid distribution case which has rocked athletics us district court judge susan ilston rejected an attempt by the defence team to have the case dismissed at a pretrial hearing in san francisco and she set a march date for the case of the four men accused of distributing illegal performanceenhancing drugs to elite athletes to be heard a firm decision on whether the trial takes place is expected in january the judge said that she may conduct hearings in january into whether federal agents illegally searched the balco headquarters and wrongfully obtained statements from the companys founder victor conte and its vicepresident james valente the two men along with personal trainer greg anderson and athletics coach remy korchemny were all indicted earlier this year but have pleaded their innocence the outcome of those hearings could result in some or all of the charges being dismissed conte said that he would be telling his side of the story on an american tv show on friday the world deserves to know the truth about performanceenhancing drugs he said balco the bay area laboratory cooperative is the company at the centre of the scandal the company has been accused by the united states antidoping agency usada of being the source of the banned steroid thg and modafinil the usada claims that 10 athletes have received sanctions for testing positive for thg and modafinil former double world champion kelli white and olympic relay star alvin harrison have both been banned on the basis of materials discovered during the balco investigation britains former european 100m champion dwain chambers is currently serving a twoyear ban after testing positive for thg in an outofcompetition test in 2003
121,palace threat over cantona masks manchester united fans wearing eric cantona masks will not be allowed in selhurst park on saturday united fans are planning to mark the 10th anniversary of cantonas infamous kungfu kick on crystal palace fan matthew simmons by wearing the masks but palace stadium manager kevin corner has warned if they wear them inside selhurst park they will be immediately rejected on safety grounds and no fans wearing cantona masks will be allowed entry to the stadium united fans had declared saturday as cantona day and had planned to wear masks that were popular during the frenchmans time as a player at the old trafford club cantona received a ninemonth ban following the incident and palace are keen to avoid an incident that would stir up ill feeling between the two sets of supporters four months after the cantona incident a palace fan paul nixon was killed prior to an fa cup semifinal at villa park
122,giggs handed wales leading role ryan giggs will captain wales as he wins his 50th cap in wednesdays friendly against hungary in cardiff john toshack in his first game as coach after succeeding mark hughes admits he is surprised that giggs has only just reached the landmark with the games hes played for united proportionately it doesnt seem that many for wales toshack said but hes one of the greatest of all welsh internationals and on his 50th cap its appropriate hes captain giggs admits he had briefly considered retirement from the international game but is now targetting playing for wales in the 2008 european championships the manchester united wing revealed how club manager sir alex ferguson talked him into extending his wales career i briefly discussed my international future with sir alex but he urged me to carry on giggs said he feels like myself that i have no weight problems and keep myself fit so in three or four years time i will be able to play in the european finals if we get there the manager has always wanted me to play for my club and country and he was keen for me to continue because i am fit enough giggs admits he was wavering and considering joining the likes of former wales skipper gary speed and united teammate paul scholes in committing the remaining years of his career to club football but giggs is now focussed on making the toshack era even more successful than the time hughes spent at the helm the manchester united winger won his first cap as a 17yearold in 1991 an away loss to germany and now faces his landmark appearance at the age of 31 with giggs leading wales out against hungary there is every chance that he will become the permanent successor to speed however toshack refused to reveal whether he sees giggs as a longterm option for this particular game i think it is appropriate that ryan giggs will be captain its his 50th cap and hes known for some time about that toshack said on wednesday night toshack takes charge of his first match since replacing hughes and giggs said its my 50th cap and i am looking forward to it and i hope to play a lot more times from here on in its important to be here all the players feel the same its a new start and all the top players certainly see it as important i see myself leading by example it is something i have taken on for wales as well as united these past few seasons the way john is looking at things he is aiming to build his side around the experienced lads right up to the next tournament the euro 2006 event i have told john i will be around for the next european tournament by then i will be 35 so hopefully i will still be okay a lot can happen but im hoping to be around giggs own personal future at old trafford is still up in the air as he has yet to reach agreement on a new contract with manchester united offering one extra year and giggs seeking two i have put the contract thing to the back of my mind at the moment said giggs it is an important period for the club and i am just concentrated on that ive heard the suggestions hopefully there is a twoyear deal about to be offered because that is what i am looking for to get it sorted out im enjoying my football the way united have been playing and my own form you have to enjoy it we have massive games coming up manchester city this week then the everton cup tie followed by ac milan in the champions league and my first wales game under john toshack so its an important time
123,wilkinson to miss ireland match england will have to take on ireland in the six nations without captain and goalkicker jonny wilkinson according to his newcastle boss rob andrew wilkinson who had targeted the 27 february match for his international comeback has been missed by england not least for his goalkicking jonnys not fit yet falcons chief andrew told bbc radio five live he wont be fit for dublin theres no doubt about that but he might be fit for scotland and italy the 25yearold has not played for england since the 2003 world cup final after a succession of injuries england who have lost three six nations games in a row wasted a 176 halftime lead in their 1817 defeat to france goalkickers charlie hodgson and olly barkley missed six penalty attempts and a dropgoal between them theyve probably got two of the best english kickers in the premiership in hodgson and barkley added andrew a former england flyhalf and goalkicker theyre both pretty good kickers charlie is a good kicker weekin weekout but its all about pressure and unfortunately england are just not handling the pressure at the moment andrew also blamed englands poor run of recent results on a lack of leadership in the side following several highprofile retirements and injuries they just didnt have that leadership that would have seen them through martin johnson lawrence dallaglio and jonny are obviously huge losses and leadership is so important in those situations he said i think it is really difficult for jason robinson to lead the side effectively from fullback meanwhile former england fullback dusty hare put englands mistakes down to a lack of mental toughness jonny wilkinson has proved himself a cool customer with around an 80 kicking success rate hare told bbc radio five live but naturalborn toughness comes into it as well as all the practice you do you have to be able to shut out all the outside elements and concentrate on putting the ball between the posts hodgson who has an excellent kicking record with club side sale sharks has introduced crowd noise into his practice routine of late the top golfers dont hit the fairway every time and it is the same with goalkicking hare added you need that mental toughness as well to put the ball over but great goalkickers like jonny wilkinson come along very rarely
124,federer breezes into semifinals roger federer reached the last four of the qatar open with an easy 61 62 win over seventh seed feliciano lopez the swiss world number one reeled off a series winners to outclass the spaniard and set up a semifinal match against russian nikolay davydenko federer who lost in the quarterfinal in his last qatar appearance in 2003 was happy with his form i think i played better than against greg rusedski and i am happy i am playing so well said the top seed lopez showed glimpses of resolve early in the second set when he held his first service game and came close to breaking federer but the swiss saved a break point and promptly broke serve in the following game to seize control davydenko meanwhile upset french third seed sebastien grosjean 26 63 62 fabrice santoro completed a miserable day for france when he was forced to retire when 62 30 down to albert costa spaniard costa will next face croatian ivan ljubicic after the sixth seed beat rafael nadal 62 67 37 63
125,fuming robinson blasts officials england coach andy robinson insisted he was livid after his side were denied two tries in sundays 1913 six nations loss to ireland in dublin mark cuetos firsthalf effort was ruled out for offside before the referee spurned tv replays when england crashed over in the dying minutes im absolutely spitting im livid theres two tries weve been cost robinson told bbc sport weve got to go back to technology i dont know why we didnt south african referee jonathan kaplan ruled that cueto was ahead of charlie hodgson when the flyhalf hoisted his crossfield kick for the sale wing to gather kaplan then declined the chance to consult the fourth official when josh lewsey took the ball over the irish line under a pile of bodies for what could have been the gamewinning try i think mark cueto scored a perfectly legal try and i think he should have gone to the video referee on josh lewsey said robinson it is how we use the technology it is there and it should be used i am still trying to work out the cueto try i have looked at both and they both looked tries we are very disappointed and this will hurt there is no doubt about that we are upset now but the referee is in charge and he has called it his way and we have got to be able to cope with that we did everything we could have done to win the game i am very proud of my players and with a couple of decisions this could have been a very famous victory i thought we dominated matt stevens had an awesome game at tighthead prop while the likes of charlie hodgson martin corry and lewis moody all came through well josh lewsey was awesome and every one of the forwards stood up out there given the pressure we were under credit must go to all the players we have done everything but win a game of rugby but ireland are a good side they defended magnificently and theyve got every chance of winning this six nations england have lost their first three matches in this years six nations and four out of their six games since robinson took over from sir clive woodward in september
126,holmes urged to compete at worlds jolanda ceplak has urged britains kelly holmes to continue competing at the major championships double olympic gold medallist holmes has strongly hinted she will not run in this years worlds and is undecided about next months european indoors but world indoor 800m record holder ceplak said there is never an easy race when she is in the field there is only excitement at what might happen it is good for the sport she always fetches the best out of everyone ceplak has been a great rival of holmes during the britons career and the pair fell out when holmes questioned the manner of the slovenians runaway 800m victory at the 2002 european championships but the controversy has since been forgotten with ceplak acting as pacemaker for holmes failed attempt on the british indoor 1500m record at the norwich union grand prix in birmingham in 2003 ceplak added i like running against her you know the race is always going to be fast that is the sort of competition that i like she is special to me she was like my idol from the beginning of my career meanwhile ceplak will be looking to follow up last saturdays win in boston with a fast time and victory in fridays night of athletics in erfurt germany britains jason gardener had been expected to defend his 60m title in erfurt but instead he will save himself for a competition in leipzig on sunday gardeners decision means scotlands 400m man ian mackie will carry british hopes in what looks sure to be a tough preparation for next weekends norwich union european trials in sheffield
127,mcleish ready for criticism rangers manager alex mcleish accepts he is going to be criticised after their disastrous uefa cup exit at the hands of auxerre at ibrox on wednesday mcleish told bbc radio five live we were in pole position to get through to the next stage but we blew it we absolutely blew it theres no use burying your head in the sand we know we are going to get a lot of criticism we have to take it as we have done in the past and we must now bounce back mcleish admitted his teams defending was amateurish after watching them lose 20 to guy rouxs french side im very disappointed because we didnt give ourselves a chance losing the first goal from our own corner it was amateur he added the early goal in the second half gave us a mountain to climb and we never created the same kind of chances as we did in the first half its difficult to take positives from the game weve let the fans down
128,newcastle 21 bolton kieron dyer smashed home the winner to end boltons 10game unbeaten run lee bowyer put newcastle ahead when he fed stephen carr on the right flank then sprinted into the area to power home a header from the resultant cross wanderers hit back through stelios giannakopoulos who ended a fluid passing move with a wellstruck volley but dyer had the last word in a game of few chances pouncing on a loose ball after alan shearers shot was blocked and firing into the top corner neither side lacked urgency in the early stages of the game with plenty of tackles flying in but opportunities in front of goal were harder to come by bolton keeper jussi jaaskelainen had to make two saves in quick succession midway through the firsthalf keeping out shearers low shot and dyers closerange header but that was the only goalmouth action of note and it was almost out of nothing that the magpies took the lead on 35 minutes bowyer found space with a neat turn on the halfway line and striding forward picked out carr to his right he then continued his run and with perfect timing made his way into the box where he met carrs cross with a downward header into the far corner bolton had produced little going forward at this point but they responded well they were level within six minutes thanks to a smart finish from giannakopoulos jayjay okocha twisted and turned on the edge of the area and after a neat exchange of passes involving kevin davies and gary speed the greek striker found the bottom corner with a firsttime strike the magpies were opened up again before halftime as davies set giannakopoulos in space and given had to block at his near post but the home side survived and they should have retaken the lead with the first meaningful attack of the second half fernando hierro cynically chopped down dyer on the edge of the area with the midfielder clean through but the veteran defender escaped with a booking as there were other defenders nearby and from the resultant freekick laurent robert curled the ball just wide bolton were creating little going forward and they seemed content to frustrate the magpies their strategy seemed to be working until the 69th minute alan shearers snapshot was charged down and dyer reacted first to smash the ball past the despairing jaaskelainen from six yards bolton boss sam allardyce i am bitterly disappointed with the result but i am probably more disappointed with the secondhalf performance in the first half we had put them under a lot of pressure and our goal matched theirs in quality i thought it would lift us and that they might be tired after playing a lot of games but unfortunately we were not up for the battle in the second half we allowed them to heap too much pressure on us and in the end we cracked newcastle boss graeme souness we deserved the win we had a really good second half bolton are a difficult side to play you have to match them physically first but we did that and then we played some football we had a slow first 45 minutes when we looked a bit tired but we got going after that the scoreline flattered them and we could have had one or two more goals newcastle given carr boumsong bramble babayaro dyer faye bowyer robert jenas 77 ameobi shearer subs not used butt harper milner hughes goals bowyer 35 dyer 69 bolton jaaskelainen hunt fadiga 14 ngotty ben haim candela giannakopoulos okocha vaz te 77 hierro campo 64 speed gardner davies subs not used jaidi poole booked ben haim hierro goals giannakopoulos 41 att 50430 ref s dunn gloucestershire
129,ferguson rues failure to cut gap boss sir alex ferguson was left ruing manchester uniteds failure to close the gap on chelsea everton and arsenal after his sides 11 draw with fulham premiership leaders chelsea and the gunners endured a 22 stalemate on sunday giving united the chance to make up some ground in the league but ferguson said i think what makes it so bad is that both our rivals dropped points at the weekend it was a great opportunity and we havent delivered united went ahead through alan smith in the 33rd minute before bouba diops superb 25yard strike cancelled out the visitors lead in the 87th minute ferguson described the result as an absolute giveaway after united had earlier missed a host of opportunities to finish off the encounter he said it was a good performance some of the football was fantastic but we just didnt finish them off in fairness its a fantastic strike from the fulham player the result leaves fergusons side fourth in the league on 31 points four points behind arsenal and a further five back from chelsea
130,candela completes bolton switch bolton boss sam allardyce has signed roma defender vincent candela on a fivemonth deal the 31yearold former france international gave his last press conference as a roma player on monday anouncing his move to bolton i have signed a fivemonth contract with bolton said candela who will travel to england on tuesday in june i will decide whether to continue to play for bolton or retire from professional football allardyce hopes candelas arrival will relieve boltons injury crisis after defender nicky hunt limped out injured during oldhams 10 win against oldham in the fa cup on sunday in light of what has happened to nicky hunt with his injury it might be a blessing in disguise that we can bring in a highlyexperienced fullback to help with our injuries at the back allardyce said he has an outstanding pedigree in the game and has won honours at the highest level including the world cup in 1998 he has not played regular football this year but is eager to impress in the premiership he can play in any position at the back and despite him being predominately rightfooted he has played the majority of his career at leftback candela who was a member of the roma side that won the title in 2001 has made only seven league appearances this season for luigi del neris side
131,cole faces lengthy injury layoff aston villas carlton cole could be out for six weeks with a knee injury the striker who is on a seasonlong loan from chelsea picked up the knock in an england under21 match against holland earlier this month carlton will be out of action for four to six weeks after a bad challenge said villa boss david oleary i wont be able to tell you whether he will need an operation until maybe next week whether he has an operation has got to be left to chelsea cole who also struggled with an ankle problem earlier in the season was unable to rest because oleary had a shortage of strikers the return to fitness of darius vassell after four months out with a broken ankle and the emergence of luke moore has alleviated some of the villas managers problems in that department
132,man utd through after exeter test manchester united avoided an fa cup upset by edging past exeter city in their third round replay cristiano ronaldo scored the opener slipping the ball between paul jones legs after just nine minutes united wasted a host of chances to make it safe as jones made some great saves but wayne rooney put the tie beyond doubt late on with a cool finish exeter had chances of their own sean devine twice volleying wide and andrew taylor forcing tim howard to save united boss sir alex ferguson was taking few chances after their 00 draw in the first game and he handed starts to paul scholes and ryan as well as ronaldo and rooney exeter began brightly with devine and steve flack seeing plenty of the ball but it did not take united long to assert their authority and the hosts soon found themselves a goal down scholes played a lovely pass in to ronaldo on the lefthand side of the sixyard box and the portuguese winger slid the ball between the legs of jones to open the scoring united sensed a chance to finish the tie as a contest early on and ronaldo blazed over before jones saved well from scholes and then rooney the visitors pressure by now was incessant and rooney had another shot blocked while ronaldo slammed well over the bar again from a good position just before the break giggs had a golden chance to double the advantage but the welshman dragged a leftfoot effort badly wide from 10 yards in stoppage time exeter created their best chance as alex jeannin swung in a cross from the left that devine managed to flick goalwards but the ball flew wide of howards goal the grecians came out after the break in determined fashion and howard had to show safe hands to collect two searching crosses into the united box rooney looked like he might have sealed the result with a turn and shot but the ball stuck in the st james park mud and jones raced back to gather on the goalline moments later devine had the chance to make himself a hero but he could only volley jeannins brilliant cross wide of howards goal after being left unmarked six yards out after rooney had completely messed up a freekick 20 yards out taylor showed him how it should be done his stunning drive from distance forcing a flying stop from howard the home crowd were baying for a goal and they did get the ball into the net only for devines low effort to be ruled out for an obvious offside the persistent rooney eventually rounded jones with three minutes to go and slotted into an empty net to book a home tie with middlesbrough in the fourth round jones hiley sawyer gaia jeannin moxey taylor martin 89 ampadu afful 69 clay flack edwards 74 devine subs not used rice todd ampadu clay howard phil neville gary neville oshea fortune giggs saha 70 miller fletcher 66 scholes djembadjemba silvestre 80 ronaldo rooney subs not used ricardo bellion ronaldo 9 rooney 87 9033 p dowd staffordshire
133,england coach faces rap after row england coach andy robinson is facing disciplinary action after criticising referee jonathan kaplan in his sides six nations defeat to ireland the rugby football union rfu will investigate robinson after deciding not to lodge a complaint against kaplan robinson may even have to apologise for his comments in order to avoid sanction from the international rugby board robinson had said he was livid about kaplans decisions on saturday to disallow two england tries the england coach went on to claim that only one side was refereed after reviewing tapes of the match the rfu decided not to formally complain to the irb over the standard of kaplans refereeing instead the rfu said in a statement they would set out any concerns the england team management may have in a confidential manner an irb spokesman said on the matter we take all breaches of the code very seriously should the rfu resolve the issue to our satisfaction as happened last month when the scotland coach matt williams apologised for remarks made it would be the end of the matter kaplan has vigorously defended his performance in englands 1913 defeat at landsdowne road and admitted he was very disappointed with robinsons remarks and the south african has been appointed to take charge of scotlands match against wales on 13 march the rfu recently fined northampton coach budge pountney 2000 and imposed a sixweek ban for his criticism of referee steve lander after a premiership match
134,prutton poised for lengthy fa ban southamptons david prutton faces a possible sevenmatch ban when he goes before the football association the 23yearold has admitted two charges of improper conduct following his dismissal against arsenal the first charge relates to his failure to leave the field promptly pushing referee alan wiley and remonstrating with assistant referee paul norman and the second charge is for using threatening words andor behaviour to a match official during the 11 draw paolo di canio was given a sevenmatch suspension when he pushed referee paul alcock over in a premiership game between sheffield wednesday and arsenal in 1998 prutton will be joined at wednesdays hearing by saints boss harry redknapp who believes that the fa will throw the book at his player redknapp himself sprinted along the touchline to help physio jim joyce and coach denis rofe shepherd the enraged prutton away from referees assistant norman david has made a big mistake and he knows it i cant condone what hes done he was out of order but he knows that said redknapp hes a decent lad he overreacted badly for some reason he had a rush of blood from somewhere off the pitch you couldnt meet a nicer lad prutton has apologised publicly for his actions and to arsenals robert pires who was injured in a wild tackle by the saints midfield man he said its an horrendous situation i apologise to the ref and linesman who were only doing their job ive also seen what happened to pires leg and im sorry for that as well i apologise for the people who saw it i know you get lots of kids going to the match now and they dont pay money to see that sort of thing its not a copout but it was all a bit of a blur sometimes you react and its beyond your control added prutton
135,kewell waits as injury drags on liverpool winger harry kewell is struggling to recover from his achilles tendinitis problem and may not recover until march claims his agent kewell 26 had hoped to play against fulham last weekend and to be ready for the champions league tie against bayer leverkusen on 22 february but bernie mandic said hes had scans which dont show anything substantial but despite his best efforts at the moment he simply cant shake off the discomfort and get back on the park mandic continued in the sydney morning herald harrys struggling a bit but the club are doing everything they can to get him right harry was desperate to be fit for the fulham game as part of his plan to play himself in for the leverkusen match kewell has not played since december 19 and misses out on international duty this week with australia facing south africa in durban on wednesday
136,collins to compete in birmingham world and commonwealth 100m champion kim collins will compete in the 60m at the norwich union grand prix in birmingham on 18 february the st kitts and nevis star joins british olympic relay gold medallists jason gardener and mark lewisfrancis sydney olympic 100m champion and world indoor record holder maurice greene and athens olympic 100m silver medallist francis obikwelu will also take part collins ran in birmingham at the 2003 world indoor championships im looking forward to competing against such a strong field he said i got a great reception form the crowd at the nia when i won my 60m world indoor silver medal in 2003 and it will be really exciting to return to this venue the world champion says hes in good shape but he isnt underestimating the home competition jason gardener and mark lewisfrancis are olympic gold medallists now and im sure theyll be aiming to win in front of their home supporters im looking forward to competing against britains best sprinters and im sure the 60 metres will be one of the most exciting races of the evening collins was sixth in the olympic final in athens but is hoping for a better result at the world championships in finland this summer this will be a big year for me and i plan to defend my 100m world title in helsinki in august before then i want to perform well over 60m indoors and start my year in winning form
137,sprinter walker quits athletics former european 200m champion dougie walker is to retire from athletics after a series of six operations left him struggling for fitness walker had hoped to compete in the new year sprint which is staged at musselburgh racecourse near edinburgh on tuesday and wednesday the 31yearold scot was suspended for two years in 1998 after testing positive for nandrolone i had intended to race but im running like a goon said walker he told the herald newspaper im not in great shape after missing about a month of training i missed a big chunk of speed work over about three weeks and then another week working in america if id had a halfdecent mark it might have motivated me more but i wont be racing i still enjoy training but feel its time to move on and concentrate on a career
138,wenger steps up row arsene wenger has stepped up his feud with sir alex ferguson by claiming the manchester united manager is guilty of bringing football into disrepute the pairs longrunning row was put back in the headlines on saturday when ferguson said his arsenal counterpart was a disgrace wenger initially refused to bite back saying only i will never answer any questions any more about this man but now he claims ferguson should be punished by the football association the latest twist in the fergusonwenger saga came on saturday when the united boss in an interview with the independent newspaper discussed the events after the game between the two sides in october united won 20 that day at old trafford but the game was followed by a now notorious food fight which saw fergusons clothes covered in soup and pizza the sides meet again at highbury on 1 february in the tunnel wenger was criticising my players calling them cheats so i told him to leave them alone and behave himself ferguson said on saturday he ran at me with hands raised saying what do you want to do about it to not apologise for the behaviour of the players to another manager is unthinkable its a disgrace but i dont expect wenger to ever apologise hes that type of person those allegations were put to wenger after saturdays game at bolton which arsenal lost to slip 10 points behind chelsea in the title race at first he said only ive always been consistent with that story and told you nothing happened if he has to talk he talks if he wants to make a newspaper article he makes a newspaper article he doesnt interest me and doesnt matter to me at all i will never answer to any provocation from him any more he does what he likes in england anyway he can go abroad one day and see how it is but later on saturday according to the independent wenger spoke to a smaller group of reporters and expanded on his reaction i have no diplomatic relations with him the arsenal boss is quoted as saying what i dont understand is that he does what he wants and you the press are all at his feet the situation concerning the food fight has been judged and there is a game going on in a month the managers have a responsibility to protect the game before the game but in england you are only punished for what you say after the game now the whole story starts again i dont go into that game we play football i am a football manager and i love football above all no matter what people say reminded that ferguson called him a disgrace wenger added i dont respond to anything in england you have a good phrase it is bringing the game into disrepute but that is not only after a game it is as well before a game ferguson had also claimed that united chief executive david gill and arsenal vicechairman david dein had agreed at boardroom level not to discuss the incident in public but ferguson added in the ensuing weeks all you got was a diatribe from arsenal about being kicked off the pitch and all that nonsense gill phoned dein three times to complain but nothing was done the return is on 1 february and they will come out with another diatribe david gill and i feel we should set the record straight because arsenal have not written to us to apologise and we would not let that happen here meanwhile the league managers association have offered to act as peacemakers in the hope of resolving the ongoing row during that stormy game in october united striker ruud van nistelrooy caught arsenals ashley cole with one particularly strong tackle wenger later accused van nistelrooy of cheating and was fined 15000 and severely reprimanded by the football association ferguson admitted on saturday that van nistelrooys tackle which earned the dutchman a ban could have given cole a serious injury but he believes arsenal were the main aggressors wenger is always complaining the match was not played in the right spirit he added they are the worst losers of all time they dont know how to lose maybe it is just manchester united they dont lose many games to other teams we tend to forget the worst disciplinary record of all time was arsenals up until last season in fairness it has improved and now they are seen as paragons of virtue but to wenger it never happens it is all some dream or nightmare
139,dawson joins england injury list scrumhalf matt dawson is an injury doubt for englands six nations opener against wales next weekend the world cup winner missed wasps 129 loss to bath on saturday after injuring his right calf wasps coach warren gatland said hes got a fitness test in the week but hes got a good chance of playing gloucesters andy hazell and leicester star lewis moody also received knocks during their respective league matches but should be fit for wales next week if dawson is not fit to face wales robinson will have to choose from gloucesters andy gomarsall or leicester youngster harry ellis jamie noon is another player on the sidelines after he limped off in the first half against saracens on friday with a dead leg the centre who is in line for a first six nations start against wales will have to wait 48 hours before knowing the state of his injury
